"Inglés","Español"
"Mandarin Salsa and Prosciutto Bruschetta","Bruschetta de Salsa de Mandarina y Prosciutto"
"Mango and Tomato Salsa","Salsa de Mango y Tomate"
"Maple-Mustard Chicken Thighs","Muslos de Pollo con Miel de Maple y Mostaza"
"Marinated Grilled Chicken with Zucchini","Pollo a la Parrilla Marinado con Calabacín"
"Marinated Grilled Salmon - Foodie Recipe","Salmón a la Parrilla Marinado - Receta Foodie"
"Maryland's Eastern Shore Cream of Crab Soup","Sopa de Crema de Cangrejo de Eastern Shore de Maryland"
"Meatball Kabobs","Brochetas de Albóndigas"
"Meatball Kebabs","Brochetas de Albóndigas"
"Meat Lover's Breakfast Cups","Tazas de Desayuno para Amantes de la Carne"
"Mediterranean Zucchini","Calabacín Mediterráneo"
"Mexican Meatball Soup (Albondigas)","Sopa Mexicana de Albóndigas (Albondigas)"
"Mexican Skillet Egg Casserole","Cazuela de Huevo Mexicana en Sartén"
"Microwave Egg and Veggie Jars","Frascos de Huevo y Verduras en Microondas"
"Mini-Artichoke Cakes","Mini Pasteles de Alcachofa"
"Mini-Crab Bites - Quick Recipe","Bocaditos de Cangrejo Mini - Receta Rápida"
"Mini-Pumpkin Tarts","Mini Tartas de Calabaza"
"Mini Baked Crab Cakes","Mini Pasteles de Cangrejo al Horno"
"Mini Vegetable Frittata","Mini Frittata de Verduras"
"Mini Veggie Frittatas","Mini Frittatas de Verduras"
"Mint Chocolate Chip Cookies","Galletas de Chispas de Chocolate con Menta"
"Miso Glazed Cod","Bacalao Glaseado con Miso"
"Mixed Greens with Cranberries, Bacon and Walnuts","Mezcla de Hojas Verdes con Arándanos, Tocino y Nueces"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mojo-Marinated Pork Tenderloin (Pernil)","Lomo de Cerdo Marinado en Mojo (Pernil)"
"Mustard-Herb Roasted Pork Tenderloin","Lomo de Cerdo Asado con Hierbas y Mostaza"
"Nicoise-Inspired Salad","Ensalada Inspirada en Nicoise"
"No-Bake Peanut Butter & Chocolate Bites","Bocaditos de Mantequilla de Maní y Chocolate sin Hornear"
"No Bake Protein Balls","Bolas de Proteína sin Hornear"
"No Mayo Egg Salad","Ensalada de Huevo sin Mayonesa"
"No Noodle Zucchini Lasagna","Lasaña de Calabacín sin Fideos"
"One-Bite Spaghetti Squash Cups","Tazas de Espagueti de Calabaza en un Bocado"
"One Skillet Sweet Orange Chicken","Pollo de Naranja Dulce en una Sola Sartén"
"Onion, Shallot and Herb Frittata","Frittata de Cebolla, Chalota y Hierbas"
"Onion, Spinach, and Artichoke Dip","Dip de Cebolla, Espinaca y Alcachofa"
"Orange, Asparagus, and Avocado Salad","Ensalada de Naranja, Espárragos y Aguacate"
"Orange-Rosemary Glazed Salmon with Broccolini","Salmón Glaseado con Naranja y Romero con Broccolini"
"Orange Cream Italian Soda","Soda Italiana de Crema de Naranja"
"Oven-Barbecued Chicken","Pollo Barbacoa al Horno"
"Pan-Grilled Tofu Skewers","Brochetas de Tofu a la Parrilla en Sartén"
"Parmesan Crusted Chicken","Pollo con Corteza de Parmesano"
"Parmesan Mashed Cauliflower","Puré de Coliflor con Parmesano"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Fideos de Calabaza Mantequilla"
"Parsley and Cilantro Chimichurri Baked Cod","Bacalao al Horno con Chimichurri de Perejil y Cilantro"
"Parsley Dill Ricotta Dip","Dip de Ricotta con Perejil y Eneldo"
"Peanut Butter Banana Oat Bites","Bocaditos de Avena con Mantequilla de Maní y Banana"
"Peanut Chicken with Cauliflower Rice","Pollo con Cacahuate sobre Arroz de Coliflor"
"Pecan-Crusted Chicken Breast","Pechuga de Pollo con Corteza de Pacanas"
"Pecan-Crusted Pork Tenderloin with Apples and Onions","Lomo de Cerdo con Corteza de Pacanas, Manzanas y Cebollas"
"Peruvian Chicken Saltado","Saltado de Pollo Peruano"
"Pesto Chicken Kababs","Brochetas de Pollo con Pesto"
"Pesto Stuffed Chicken Breast with Bruschetta Sauce","Pechuga de Pollo Rellena de Pesto con Salsa de Bruschetta"
"Pickled Brussels Sprouts","Coles de Bruselas Encurtidas"
"Pineapple and Chile Quesadillas","Quesadillas de Piña y Chile"
"Pineapple Peach Sorbet","Sorbete de Piña y Durazno"
"Pistachio Crusted Salmon","Salmón con Corteza de Pistacho"
"Plum Muffins","Muffins de Ciruela"
"Plum Salad with Goat Cheese and Walnuts","Ensalada de Ciruela con Queso de Cabra y Nueces"
"Pork Chops & Preserved Lemon Yogurt with Sautéed Vegetables","Chuletas de Cerdo y Yogur con Limón Conservado con Verduras Salteadas"
"Power Granola","Granola Energética"
"Provencal-Style Herb-Roasted Turkey Breast","Pechuga de Pavo Asada con Hierbas al Estilo Provenzal"
"Pulled Chicken with Cilantro Lime","Pollo Desmenuzado con Cilantro y Lima"
"Pumpkin-Vanilla Pudding","Pudin de Calabaza y Vainilla"
"Pumpkin Apple Protein Bars","Barras de Proteína de Calabaza y Manzana"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Quick Broccoli Slaw","Ensalada de Col Rápida con Brócoli"
"Raspberry Vinaigrette","Vinagreta de Frambuesa"
"Red Lentil Hummus","Hummus de Lentejas Rojas"
"Roasted and Spiced Chickpeas","Garbanzos Asados y Especiados"
"Roasted Asparagus Salad","Ensalada de Espárragos Asados"
"Roasted Asparagus with Parmesan","Espárragos Asados con Parmesano"
"Roasted Baby Carrots","Zanahorias Baby Asadas"
"Roasted Beet, Tahini, and Greek Yogurt Dip","Dip de Remolacha Asada, Tahini y Yogur Griego"
"Roasted Brussels Sprouts with Bacon","Coles de Bruselas Asadas con Tocino"
"Roasted Brussels Sprouts With Honey Mustard","Coles de Bruselas Asadas con Mostaza y Miel"
"Roasted Cabbage Steaks","Filetes de Repollo Asados"
"Roasted Cauliflower","Coliflor Asada"
"Roasted Cherry Tomatoes with Rosemary & Garlic","Tomates Cherry Asados con Romero y Ajo"
"Roasted Chicken Breasts","Pechugas de Pollo Asadas"
"Roasted Chicken with Vegetables and Cranberries","Pollo Asado con Verduras y Arándanos"
"Roasted Fall Vegetables","Verduras de Otoño Asadas"
"Roasted Green Beans in Champagne Vinaigrette","Judías Verdes Asadas con Vinagreta de Champagne"
"Roasted Pineapple Salsa","Salsa de Piña Asada"
"Roasted Radishes","Rábanos Asados"
"Roasted Turkey & Vegetables","Pavo Asado con Verduras"
"Roast Turkey with Orange-Spice Rub","Pavo Asado con Especia de Naranja"
"Root Vegetable Cakes","Pasteles de Verduras Raíces"
"Rosemary Roasted Cornish Game Hen","Gallina de Cornualles Asada con Romero"
"Salad Greens with Spiced Pecans","Hojas de Ensalada con Pacanas Especiadas"
"Salmon and Arugula Wraps","Wraps de Salmón y Rúcula"
"Salmon and Asparagus Gremolata","Gremolata de Salmón y Espárragos"
"Salmon and Rice Bowls","Tazones de Salmón y Arroz"
"Salmon Stuffed with Spinach and Feta","Salmón Relleno de Espinaca y Feta"
"Sausage and Fresh Basil Fast Frittata","Frittata Rápida de Salchicha y Albahaca Fresca"
"Sauteed Baby Spinach With Currants and Pine Nuts","Espinaca Baby Salteada con Corazoncitos y Piñones"
"Sauteed Fish Cakes","Pasteles de Pescado Salteados"
"Sautéed Asparagus, Peppers and Mushrooms","Espárragos, Pimientos y Champiñones Salteados"
"Sautéed Kale with Turkey Bacon","Kale Salteado con Tocino de Pavo"
"Sautéed Thyme Mushrooms","Champiñones al Tomillo Salteados"
"Savory Asparagus Custards","Flanes Salados de Espárragos"
"Savory Cauliflower and Cheesy Cakes","Pasteles Salados de Coliflor y Queso"
"Scallop Kebabs","Brochetas de Vieira"
"Seared Chicken With Strawberry Salsa","Pollo Sellado con Salsa de Fresa"
"Seared Pork & Roasted Vegetables with Apple and Sage Pan Sauce","Cerdo Sellado y Verduras Asadas con Salsa de Manzana y Salvia"
"Seared Scallops with Pesto Sauce","Vieiras Selladas con Salsa de Pesto"
"Seared Tuna with Pesto Sauce","Atún Sellado con Salsa de Pesto"
"Seasonal Baked Whitefish Pouch","Bolsa de Pescado Blanco al Horno de Temporada"
"Seasonal Heirloom Tomato Salad","Ensalada de Tomates Heirloom de Temporada"
"Sea Bass Provencale","Lubina a la Provenzal"
"Sensational Chicken Burgers","Hamburguesas de Pollo Sensacionales"
"Sesame Soy Salad Dressing","Aderezo de Ensalada de Sésamo y Soja"
"Shakshuka","Shakshuka"
"Shakshuka with Red Peppers and Goat Cheese","Shakshuka con Pimientos Rojos y Queso de Cabra"
"Shaved Asparagus, Radish and Parmesan Salad","Ensalada de Espárragos Laminados, Rábanos y Parmesano"
"Sheet Pan Miso Salmon and Sesame Bok Choy","Salmón con Miso y Bok Choy al Sésamo en Bandeja"
"Sheet Pan Roasted Turkey and Veggies","Pavo Asado con Verduras en Bandeja"
"Sheet Pan Salmon and Asparagus","Salmón y Espárragos en Bandeja"
"Sheet Pan Salmon and Green Beans","Salmón y Judías Verdes en Bandeja"
"Sheet Pan Teriyaki Salmon and Vegetables","Salmón Teriyaki y Verduras en Bandeja"
"Shrimp Ceviche","Ceviche de Camarones"
"Shrimp Lettuce Wraps","Wraps de Lechuga con Camarones"
"Shrimp Saganaki","Saganaki de Camarones"
"Shrimp with Creamy Arugula Pesto","Camarones con Pesto Cremoso de Rúcula"
"Sicilian Olive Salad","Ensalada Siciliana de Aceitunas"
"Simple Chicken Stirfry","Salteado Simple de Pollo"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simple Side Salad with Balsamic Vinaigrette","Ensalada de Acompañamiento Simple con Vinagreta de Balsámico"
"Simple Summer Cucumber and Tomato Salad","Ensalada Simple de Pepino y Tomate de Verano"
"Simply Spiced Shrimp","Camarones Simplemente Especiados"
"Skillet Fish With Spanish Tomatoes","Pescado en Sartén con Tomates Españoles"
"Slow-Cooked Whole Chicken","Pollo Entero de Cocción Lenta"
"Slow Cooker Pulled BBQ Chicken","Pollo BBQ Desmenuzado en Olla de Cocción Lenta"
"Smoked-Paprika Salmon","Salmón con Pimentón Ahumado"
"Smoked Salmon & Cucumber Bites","Bocaditos de Salmón Ahumado y Pepino"
"Smoky Mushrooms","Champiñones Ahumados"
"Smoky Pork Chops with Tomatoes","Chuletas de Cerdo Ahumadas con Tomates"
"Socca With Poached Eggs, Roasted Tomatoes, And Fresh Basil","Socca con Huevos Escalfados, Tomates Asados y Albahaca Fresca"
"Southern Collard Greens","Verduras de Collard del Sur"
"Southern Italian Fava Bean Purèe (Maccu)","Puré de Habas al Estilo Italiano del Sur (Maccu)"
"Southwestern Coleslaw","Ensalada de Col Estilo Suroeste"
"Southwest Breakfast Quiche","Quiche de Desayuno del Suroeste"
"Spaghetti Squash Parmigiano","Calabaza Espagueti con Parmesano"
"Spaghetti Squash with Pine Nuts and Sage","Calabaza Espagueti con Piñones y Salvia"
"Sparkling Strawberry Mint Water","Agua con Gas de Fresa y Menta"
"Spice-Rubbed Roasted Chicken Thighs With Lemons","Muslos de Pollo Asados con Especias y Limones"
"Spiced Ginger Carrot Soup","Sopa de Zanahoria con Jengibre y Especias"
"Spiced Lemon Yogurt Chicken Tenders","Tenders de Pollo con Yogur de Limón y Especias"
"Spiced Shrimp With Grilled Lemon","Camarones Especiados con Limón a la Parrilla"
"Spiced Sweet Potato Casserole","Cazuela de Batata Especiada"
"Spiced Turkey Breast With Apple Chutney","Pechuga de Pavo Especiada con Chutney de Manzana"
"Spicy Pork Tenderloins With Chili And Black Vinegar","Lomos de Cerdo Picantes con Chile y Vinagre Negro"
"Spinach, Avocado, and Summer Berry Salad","Ensalada de Espinaca, Aguacate y Frutas del Bosque de Verano"
"Spinach, Tomato and Feta Cheese Baked Egg","Huevo al Horno con Espinaca, Tomate y Queso Feta"
"Spinach and Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach and Mushroom Stuffed Chicken","Pollo Relleno de Espinaca y Champiñones"
"Spinach and Parmesan Egg Bites","Bocaditos de Huevo con Espinaca y Parmesano"
"Spinach and Turkey Meatballs","Albóndigas de Espinaca y Pavo"
"Spinach Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach Artichoke Stuffed Portobellos","Portobellos Rellenos de Espinaca y Alcachofa"
"Spinach Mushroom Egg and Ham Cups","Tazas de Huevo, Champiñones, Espinaca y Jamón"
"Spinach Pesto Halibut","Hálibut con Pesto de Espinaca"
"Spinach Yogurt Dip","Dip de Yogur con Espinaca"
"Spring Vegetable Salad with Tomato Vinaigrette","Ensalada de Verduras de Primavera con Vinagreta de Tomate"
"Steak Salad with Orange","Ensalada de Bistec con Naranja"
"Strawberries With Balsamic Glaze, Black Pepper, and Tarragon","Fresas con Glaseado de Balsámico, Pimienta Negra y Estragón"
"Strawberry Kiwi Spritzer","Spritzer de Fresa y Kiwi"
"Strip Steak With Smothered Onions","Bistec de Lomo con Cebollas Salteadas"
"Stuffed Brussels Sprouts Bites – Foodie Recipe","Bocaditos de Coles de Bruselas Rellenas – Receta Foodie"
"Stuffed Mushrooms","Champiñones Rellenos"
"Succulent Salmon With Caramelized Onions","Salmón Jugoso con Cebollas Caramelizadas"
"Summer Crab Salad","Ensalada de Cangrejo de Verano"
"Surf and Turf (Filet Medallions and Baked Crab Cakes)","Surf and Turf (Medallones de Filete y Pasteles de Cangrejo al Horno)"
"Sweet and Smoky Baked Eggs","Huevos al Horno Dulces y Ahumados"
"Sweet Chili Chicken, Sweet Potatoes, and Broccoli","Pollo con Chili Dulce, Batatas y Brócoli"
"Sweet Glazed Spring Vegetables","Verduras de Primavera Glaseadas Dulces"
"Sweet Onion, White Bean and Artichoke Dip","Dip de Cebolla Dulce, Frijoles Blancos y Alcachofa"
"Sweet Onion Frittata with Ham","Frittata de Cebolla Dulce con Jamón"
"Sweet Pepper, Onion and Tomato Salad","Ensalada de Pimiento Dulce, Cebolla y Tomate"
"Sweet Potato Baskets with Eggs","Cestas de Batata con Huevos"
"Sweet Potato Masala","Masala de Batata"
"Sweet Southern Coleslaw","Ensalada de Col del Sur Dulce"
"Swordfish Alla Ghiotta","Pez Espada a la Ghiotta"
"Tarragon-Mustard Cod","Bacalao con Estragón y Mostaza"
"Tarragon Herbed Chicken and Mushrooms","Pollo con Hierbas de Estragón y Champiñones"
"Tasty Cooked Greens","Verduras Cocidas Deliciosas"
"Teriyaki Creamy Chicken Salad in Lettuce Cups","Ensalada Cremosa de Pollo Teriyaki en Tazas de Lechuga"
"Thai Lemongrass Beef Skewers","Brochetas de Carne de Res con Hierba de Limón al Estilo Tailandés"
"Thanksgiving Green Beans with Cranberries and Hazelnuts","Judías Verdes de Acción de Gracias con Arándanos y Avellanas"
"Tilapia Stew with Green Peppers","Estofado de Tilapia con Pimientos Verdes"
"Toasted Nut & Cranberry Trail Mix","Mezcla de Senderismo con Nueces Tostadas y Arándanos"
"Tofu and Vegetable Skewers","Brochetas de Tofu y Verduras"
"Tofu Bahn Mi Bowl","Tazón Bahn Mi de Tofu"
"Tomato & Sweet Onion Stovetop Okra","Okra en Estufa con Tomate y Cebolla Dulce"
"Tomato and Peach Salad","Ensalada de Tomate y Durazno"
"Tomato Basil Bisque","Bisque de Tomate y Albahaca"
"Triple Citrus Vinaigrette","Vinagreta de Triple Cítrico"
"Tuna Salad Avocado Bowls","Tazones de Ensalada de Atún y Aguacate"
"Tuna Salad with Chickpeas","Ensalada de Atún con Garbanzos"
"Turkey and Mozzarella Snack Skewers","Brochetas de Snack de Pavo y Mozzarella"
"Turkey Bacon Wrapped Jalapeño Poppers","Jalapeños Rellenos Envueltos en Tocino de Pavo"
"Turkey Kebabs with Avocado & Tomato","Brochetas de Pavo con Aguacate y Tomate"
"Turkey Meatball “Wonton” Soup with Bok Choy & Carrots","Sopa de Albóndigas de Pavo tipo Wonton con Bok Choy y Zanahorias"
"Turkey Sausage and Egg Casserole","Cazuela de Salchicha de Pavo y Huevo"
"Tuscan Seafood Stew (Cacciucco Livornese)","Estofado de Mariscos Toscano (Cacciucco Livornese)"
"Tuscan Spiedini With Fresh Herbs, Lemon, And Cracked Fennel Seeds","Spiedini Toscano con Hierbas Frescas, Limón y Semillas de Hinojo Roto"
"Tzatziki and Vegetables","Tzatziki y Verduras"
"Unstuffed Eggroll","Rollito de Huevo sin Relleno"
"Vaca Frita Beef","Carne Vaca Frita"
"Veggie Dip Cups","Tazas de Dip de Verduras"
"Veggie Spring Rolls with Peanut Sauce","Rollitos de Primavera de Verduras con Salsa de Cacahuate"
"Venetian Shrimp With Garlic (Schie Aglio Olio)","Camarones Venecianos con Ajo (Schie Aglio Olio)"
"Vietnamese Cabbage And Pork Salad","Ensalada Vietnamita de Repollo y Cerdo"
"Vindaloo-Style Roasted Pork Tenderloin","Lomo de Cerdo Asado al Estilo Vindaloo"
"Watermelon, Arugula and Feta Salad","Ensalada de Sandía, Rúcula y Feta"
"Watermelon and Tomato Salad","Ensalada de Sandía y Tomate"
"Watermelon Gazpacho","Gazpacho de Sandía"
"Watermelon Lime Slushie","Granizado de Sandía y Lima"
"Watermelon Rosemary Water","Agua de Sandía y Romero"
