"Inglés","Español"
"Herbs de Provence Roasted Chicken Breasts","Pechugas de Pollo Asadas con Hierbas de Provenza"
"Instant Pot Asian Spaghetti Squash","Calabaza Espagueti Asiática en Instant Pot"
"Instant Pot Black and White Turkey Chili Soup","Sopa de Chili de Pavo Negro y Blanco en Instant Pot"
"Instant Pot Cajun Chicken and Andouille Rice","Pollo Cajún y Arroz Andouille en Instant Pot"
"Instant Pot Chicken Curry Salad","Ensalada de Curry de Pollo en Instant Pot"
"Instant Pot Chicken Italian Soup with Artichokes","Sopa Italiana de Pollo con Alcachofas en Instant Pot"
"Instant Pot Coconut Curry Vegetable Rice Bowls","Tazones de Arroz con Verduras al Curry de Coco en Instant Pot"
"Instant Pot Lentils and Poached Eggs","Lentejas y Huevos Escalfados en Instant Pot"
"Instant Pot Panko-Crusted Cod","Bacalao Empanizado con Panko en Instant Pot"
"Instant Pot Pumpkin-Spiced Turkey Chili","Chili de Pavo con Especias de Calabaza en Instant Pot"
"Instant Pot Spiced Pork Roast with Butternut Squash","Asado de Cerdo Especiado con Calabaza Mantequilla en Instant Pot"
"Instant Pot Vegetarian Thai Mushroom Soup","Sopa de Champiñones Thai Vegetariana en Instant Pot"
"Italian-Style Chicken & Couscous with Carrots, Currants, and Kale","Pollo y Cuscús al Estilo Italiano con Zanahorias, Pasas y Kale"
"Jamaican Jerk Chicken","Pollo Jerk Jamaicano"
"Japanese Chicken and Spinach Rice Bowls","Tazones de Arroz con Pollo y Espinaca al Estilo Japonés"
"Kale Apple Slaw","Ensalada de Kale y Manzana"
"Kale Parmesan Pesto Rigatoni","Rigatoni con Pesto de Kale y Parmesano"
"Kidney Bean Stew","Estofado de Frijoles Rojos"
"Korean BBQ-Inspired Baked Salmon","Salmón al Horno Inspirado en BBQ Coreano"
"Lamb, Kale, and Pomegranate Salad","Ensalada de Cordero, Kale y Granada"
"Latin Baked Fried Chicken","Pollo Frito al Horno Estilo Latino"
"Lemon-Mint Sugar Snap Peas","Guisantes Dulces con Limón y Menta"
"Lemon Chicken with Rosemary and Garlic","Pollo al Limón con Romero y Ajo"
"Lemon Thyme Shrimp Stir-Fry with Cauliflower Rice","Salteado de Camarones con Limón y Tomillo sobre Arroz de Coliflor"
"Lentils and Greens with Apples","Lentejas y Verduras con Manzanas"
"Lentil Sloppy Joes","Sloppy Joes de Lentejas"
"Low Carb Chicken and Zucchini Casserole","Cazuela Baja en Carbohidratos de Pollo y Calabacín"
"Low Carb Summer Vegetable Pasta","Pasta de Verduras de Verano Baja en Carbohidratos"
"Low Carb Veggie Fried Rice Bowl","Tazón de Arroz Frito de Verduras Bajo en Carbohidratos"
"Mandarin, Greens, and Protein Bowl","Tazón de Mandarinas, Verduras y Proteína"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Arce y Tomillo"
"Maryland's Eastern Shore Cream of Crab Soup","Sopa Cremosa de Cangrejo de Eastern Shore de Maryland"
"Mashed Red Potatoes","Puré de Papas Rojas"
"Mashed Sweet Potato Breakfast Bowl","Tazón de Desayuno con Puré de Batata"
"Mediterranean Farro Bowls with Lemon Yogurt and Chili Oil","Tazones de Farro Mediterráneo con Yogur de Limón y Aceite de Chile"
"Mediterranean Grain Bowl with Pork Skewers","Tazón de Granos Mediterráneo con Brochetas de Cerdo"
"Mexican-Spiced Beef Salad with Roasted Vegetables and Creamy Cilantro Dressing","Ensalada de Res con Especias Mexicanas, Verduras Asadas y Aderezo Cremoso de Cilantro"
"Mexican-Spiced Pork Chops with Tomatillo Barley & Cotija Cheese","Chuletas de Cerdo con Especias Mexicanas, Cebada con Tomatillo y Queso Cotija"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mojo-Style Chicken Thighs with Cilantro Slaw and Garlic-Lime Pepitas","Muslos de Pollo al Estilo Mojo con Ensalada de Cilantro y Pepitas de Ajo y Lima"
"Moroccan Lentils with Stewed Tomatoes","Lentejas Marroquíes con Tomates Guisados"
"Mustard-Herb Roasted Pork Tenderloin","Lomo de Cerdo Asado con Mostaza y Hierbas"
"Nuts for Pine Nuts Pizza","Pizza de Piñones para Amantes de los Nueces"
"One Skillet Sweet Orange Chicken","Pollo con Naranja Dulce en Una Sartén"
"Orange, Asparagus, and Avocado Salad","Ensalada de Naranja, Espárragos y Aguacate"
"Orange-Rosemary Glazed Salmon with Broccolini","Salmón Glaseado con Naranja y Romero con Broccolini"
"Orange-Rosemary Glazed Salmon with Broccolini","Salmón Glaseado con Naranja y Romero con Broccolini"
"Orange & Ponzu-Glazed Turkey Meatballs with Stir-Fried Vegetables and Furikake","Albóndigas de Pavo Glaseadas con Naranja y Ponzu con Verduras Salteadas y Furikake"
"Orange Glazed Tilapia with Cilantro Kale & Collard Greens","Tilapia Glaseada con Naranja con Kale de Cilantro y Verdolagas"
"Oregano Chicken Thighs & Fregola Sarda with Tomato-Caper Pan Sauce","Muslos de Pollo con Orégano y Fregola Sarda con Salsa de Tomate y Alcaparras"
"Panzanella Salad","Ensalada Panzanella"
"Parmesan-Almond Baked Cod with Sautéed Vegetables","Bacalao al Horno con Parmesano y Almendra con Verduras Salteadas"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Fideos de Calabaza Mantequilla"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Fideos de Calabaza Mantequilla"
"Parsley and Cilantro Chimichurri Baked Cod","Bacalao al Horno con Chimichurri de Perejil y Cilantro"
"Peach BBQ Chicken Breast","Pechuga de Pollo BBQ con Durazno"
"Pecan-Crusted Chicken Breast","Pechuga de Pollo con Corteza de Pacana"
"Penne with Eggplant-Tomato Sauce","Penne con Salsa de Berenjena y Tomate"
"Pesto-Encrusted Cod with Roasted Tomatoes and Asparagus","Bacalao con Corteza de Pesto con Tomates Asados y Espárragos"
"Pesto Chicken with Vegetables and Spaghetti","Pollo al Pesto con Verduras y Espaguetis"
"Plant-Based \"Steak\" Fajitas","Fajitas de \"Bistec\" a Base de Plantas"
"Ponzu Pork Tacos with Mandarin Oranges","Tacos de Cerdo con Ponzu y Mandarinas"
"Pork & Freekeh Stir Fry with Brussels Sprouts, Carrots, and Shishito Peppers","Salteado de Cerdo y Freekeh con Coles de Bruselas, Zanahorias y Pimientos Shishito"
"Pork Chops & Preserved Lemon Yogurt with Sautéed Vegetables","Chuletas de Cerdo con Yogur de Limón Preservado y Verduras Salteadas"
"Pulled Chicken with Cilantro Lime","Pollo Deshebrado con Cilantro y Lima"
"Pumpkin Shrimp Vegetable Curry Soup","Sopa de Curry de Camarones, Calabaza y Verduras"
"Quinoa Fried Rice with Bok Choy, Shishitos & Carrots","Arroz Frito de Quinoa con Bok Choy, Shishitos y Zanahorias"
"Quinoa Seafood Paella","Paella de Mariscos con Quinoa"
"Ramen-Style Ginger Chicken Noodle Soup","Sopa de Fideos al Estilo Ramen con Pollo y Jengibre"
"Roasted Beets with Lemon and Dill","Remolachas Asadas con Limón y Eneldo"
"Roasted Broccoli & Fregola Sarda with Hard-Boiled Eggs & Tahini Dressing","Brócoli Asado y Fregola Sarda con Huevos Duros y Aderezo de Tahini"
"Roasted Cabbage Steaks","Filetes de Repollo Asados"
"Roasted Cauliflower Steaks & Kale Farro with Grape, Mustard & Thyme Pan Sauce","Filetes de Coliflor Asados y Farro con Kale con Salsa de Uva, Mostaza y Tomillo"
"Roasted Chicken with Vegetables and Cranberries","Pollo Asado con Verduras y Arándanos"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur con Limón y Eneldo"
"Roasted Veggie Pizza on Phyllo Crust","Pizza de Verduras Asadas sobre Corteza de Phyllo"
"Roast Turkey with Orange-Spice Rub","Pavo Asado con Especias y Naranja"
"Romesco Chicken & Spinach with Pepper Couscous & Tzatziki","Pollo Romesco y Espinaca con Cuscús de Pimiento y Tzatziki"
"Salmon and Rice Bowls","Tazones de Salmón y Arroz"
"Salmon Croquettes with Yogurt-Horseradish Sauce","Croquetas de Salmón con Salsa de Yogur y Rábano Picante"
"Salmon with Mango and Peach Salsa","Salmón con Salsa de Mango y Durazno"
"Seared Chicken & Goat Cheese Sauce with Mashed Potatoes & Carrot-Pepper Agrodolce","Pollo Sellado con Salsa de Queso de Cabra, Puré de Papas y Agrodolce de Zanahoria y Pimiento"
"Seared Chicken & Goat Cheese Sauce with Roasted Potatoes and Carrot-Pepper Agrodolce","Pollo Sellado con Salsa de Queso de Cabra, Papas Asadas y Agrodolce de Zanahoria y Pimiento"
"Seared Pork & Roasted Vegetables with Apple and Sage Pan Sauce","Cerdo Sellado y Verduras Asadas con Salsa de Manzana y Salvia"
"Seared Pork Chops & Cucumber Yogurt with Za’atar Vegetable Barley","Chuletas de Cerdo Selladas y Yogur de Pepino con Cebada de Verduras Za’atar"
"Seared Salmon & Shallot-Dijon Vinaigrette with Roasted Potatoes & Sautéed Vegetables","Salmón Sellado con Vinagreta de Chalotas y Dijon, Papas Asadas y Verduras Salteadas"
"Seared Scallops with Pesto Sauce","Vieiras Selladas con Salsa de Pesto"
"Seasonal Baked Whitefish Pouch","Paquete de Pescado Blanco al Horno de Temporada"
"Shakshuka with Red Peppers and Goat Cheese","Shakshuka con Pimientos Rojos y Queso de Cabra"
"Sheet Pan Chicken, Green Beans & Potatoes","Pollo, Ejotes y Papas en Bandeja para Horno"
"Sheet Pan Miso Salmon and Sesame Bok Choy","Salmón al Miso y Bok Choy al Sésamo en Bandeja para Horno"
"Sheet Pan Salmon and Asparagus","Salmón y Espárragos en Bandeja para Horno"
"Sheet Pan Salmon and Green Beans","Salmón y Ejotes en Bandeja para Horno"
"Sheet Pan Teriyaki Salmon and Vegetables","Salmón Teriyaki y Verduras en Bandeja para Horno"
"Sheet Pan Zucchini and Red Pepper \"Stir-Fry\"","Salteado de Calabacín y Pimiento Rojo en Bandeja para Horno"
"Shrimp Ceviche","Ceviche de Camarones"
"Shrimp Creole and Cauliflower Grits","Creole de Camarones y Grits de Coliflor"
"Side Greek Salad with Red Wine Vinaigrette","Ensalada Griega Adicional con Vinagreta de Vino Tinto"
"Simple Chicken Stirfry","Salteado Simple de Pollo"
"Slow-Cooker Ratatouille with White Beans","Ratatouille con Frijoles Blancos en Olla de Cocción Lenta"
"Slow Cooker Apricot Barbecue Pulled Chicken Sliders","Deslizadores de Pollo Deshebrado BBQ con Albaricoque en Olla de Cocción Lenta"
"Slow Cooker Sweet and Spicy Turkey Meatballs","Albóndigas de Pavo Dulces y Picantes en Olla de Cocción Lenta"
"Smoked Paprika Beans with Rosemary & Olives","Frijoles con Pimentón Ahumado, Romero y Aceitunas"
"Smoky Chicken & Creamy Cilantro Sauce with Sweet Pepper & Zucchini Farro","Pollo Ahumado con Salsa Cremosa de Cilantro y Farro de Pimiento Dulce y Calabacín"
"Smoky Salmon & Shallot-Date Sauce with Roasted Vegetable & Kale Salad","Salmón Ahumado con Salsa de Chalota y Dátiles y Ensalada de Verduras Asadas y Kale"
"Smoky Shrimp Tostadas with Chipotle Mango Slaw","Tostadas de Camarones Ahumados con Ensalada de Mango y Chipotle"
"Sorghum Split Pea Soup","Sopa de Guisantes Partidos con Sorgo"
"Southern-Style Tilapia & Collard Greens with Piquillo Pepper and Pickle Relish","Tilapia y Verdolagas al Estilo Sureño con Pimiento Piquillo y Relish de Pepinillos"
"Southwest-Style Turkey Meatloaf","Pastel de Carne de Pavo al Estilo Suroeste"
"Spanish-Spiced Beef & Kale Salad with Creamy Saffron Dressing","Ensalada de Res y Kale con Especias Españolas y Aderezo Cremoso de Azafrán"
"Spanish-Spiced Salmon & Vegetable Quinoa with Almond-Date Topping","Quinoa de Salmón y Verduras con Especias Españolas y Cobertura de Almendra y Dátiles"
"Spanish-Spiced Tilapia & Farro Salad","Ensalada de Tilapia y Farro con Especias Españolas"
"Spiced Chicken & Kale Salad with Parmesan Breadcrumbs & Salsa Verde Dressing","Ensalada de Pollo y Kale con Migas de Parmesano y Aderezo Salsa Verde"
"Spiced Ginger Carrot Soup","Sopa de Zanahoria con Jengibre y Especias"
"Spiced Ginger Carrot Soup","Sopa de Zanahoria con Jengibre y Especias"
"Spiced Pork & Glazed Apple with Roasted Vegetables","Cerdo Especiado y Manzana Glaseada con Verduras Asadas"
"Spicy Beef and Onion Kebabs","Kebabs de Res y Cebolla Picante"
"Spicy Chipotle Tofu & Rice Bowls with Avocado and Marinated Vegetables","Tazones de Tofu y Arroz con Chipotle Picante, Aguacate y Verduras Marinadas"
"Spicy Pork Chops with Sweet Mango Sauce","Chuletas de Cerdo Picantes con Salsa Dulce de Mango"
"Spicy Salmon & Orange Relish with Salsa Verde Couscous","Salmón Picante con Relish de Naranja y Cuscús Salsa Verde"
"Spinach, Avocado, and Summer Berry Salad","Ensalada de Espinaca, Aguacate y Frutas de Verano"
"Steak Salad with Orange","Ensalada de Bistec con Naranja"
"Steak Salad with Orange","Ensalada de Bistec con Naranja"
"Strawberry-Jalapeño Salsa Over Grilled Chicken","Salsa de Fresa y Jalapeño sobre Pollo a la Parrilla"
"Strawberry Chicken Salad Sandwich","Sándwich de Ensalada de Pollo y Fresa"
"Strawberry Poppyseed Chicken Salad","Ensalada de Pollo con Fresas y Semillas de Amapola"
"Sweet & Savory Balsamic Chicken","Pollo Balsámico Dulce y Salado"
"Sweet & Savory Glazed Tilapia over Barley, Snow Peas, and Mushrooms","Tilapia Glaseada Dulce y Salada sobre Cebada, Guisantes de Nieve y Champiñones"
"Sweet Chili Chicken, Sweet Potatoes, and Broccoli","Pollo con Chile Dulce, Batatas y Brócoli"
"Sweet Potato and Black Bean Soup","Sopa de Batata y Frijoles Negros"
"Swordfish Alla Ghiotta","Espada a la Ghiotta"
"Tahini-Balsamic Chicken Bowls with Barley, Arugula, and Pear","Tazones de Pollo con Tahini y Balsámico con Cebada, Rúcula y Pera"
"Tarragon Herbed Chicken and Mushrooms","Pollo y Champiñones con Hierbas de Estragón"
"Tex-Mex Shrimp Tacos","Tacos de Camarones Tex-Mex"
"Thanksgiving Green Beans with Cranberries and Hazelnuts","Ejotes de Acción de Gracias con Arándanos y Avellanas"
"Thanksgiving Winter Salad with Champagne Vinaigrette","Ensalada de Invierno de Acción de Gracias con Vinagreta de Champagne"
"Three-Minute Skillet Beans & Greens","Frijoles y Verduras en Sartén en Tres Minutos"
"Tilapia & Creamy Romesco Sauce with Barley, Tomatoes, and Brussels Sprouts","Tilapia con Salsa Romesco Cremosa, Cebada, Tomates y Coles de Bruselas"
"Tofu and Vegetable Skewers","Brochetas de Tofu y Verduras"
"Tofu and Vegetable Skewers","Brochetas de Tofu y Verduras"
"Tofu Bahn Mi Bowl","Tazón de Tofu Bahn Mi"
"Togarashi Chicken & Orange Glaze with Miso-Roasted Vegetables & Marinated Pear","Pollo Togarashi con Glaseado de Naranja, Verduras Asadas con Miso y Pera Marinada"
"Togarashi Tilapia & Marinated Cucumber with Miso Stir-Fried Vegetables","Tilapia Togarashi con Pepino Marinados y Verduras Salteadas con Miso"
"Togarashi Vegetables & Chicken Thighs with Creamy Ponzu-Ranch Dressing","Verduras Togarashi y Muslos de Pollo con Aderezo Cremoso Ponzu-Ranch"
"Tomato Basil Bisque","Bisque de Tomate y Albahaca"
"Tropical Kale Quinoa Salad","Ensalada de Kale y Quinoa Tropical"
"Turkey Chili Stuffed Sweet Potatoes","Batatas Rellenas de Chili de Pavo"
"Turkey Chili Stuffed Sweet Potatoes","Batatas Rellenas de Chili de Pavo"
"Turkey Meatballs Arrabbiata","Albóndigas de Pavo Arrabbiata"
"Turkey Meatball “Wonton” Soup with Bok Choy & Carrots","Sopa de Wonton con Albóndigas de Pavo, Bok Choy y Zanahorias"
"Turkey Meatball “Wonton” Soup with Bok Choy & Carrots","Sopa de Wonton con Albóndigas de Pavo, Bok Choy y Zanahorias"
"Turkey Tacos","Tacos de Pavo"
"Tuscan-Spiced Pork & Grape Agrodulce with Kale and Mushrooms","Cerdo y Uvas Agrodulce con Especias Toscano, Kale y Champiñones"
"Tuscan-Spiced Pork & Mashed Potatoes with Green Beans and Roasted Tomato Dressing","Cerdo con Especias Toscano y Puré de Papas con Ejotes y Aderezo de Tomate Asado"
"Unstuffed Eggroll","Rollito de Huevo sin Relleno"
"Unstuffed Pepper Casserole","Cazuela de Pimiento sin Relleno"
"Vaca Frita Beef","Vaca Frita de Res"
"Valencian Seafood Paella","Paella de Mariscos Valenciana"
"Vegan Zuppa Toscana","Zuppa Toscana Vegana"
"Vegetable & Freekeh \"Fried Rice\" with Shishito Peppers and Peanuts","Arroz Frito de Verduras y Freekeh con Pimientos Shishito y Cacahuates"
"Vegetarian Kale Pasta","Pasta Vegetariana con Kale"
"Vegetarian Tacos","Tacos Vegetarianos"
"Veracruz-Style Tilapia & Farro with Zucchini, Tomatoes, and Pickled Jalapeño","Tilapia y Farro al Estilo Veracruz con Calabacín, Tomates y Jalapeño en Escabeche"
"Vindaloo-Style Roasted Pork Tenderloin","Lomo de Cerdo Asado al Estilo Vindaloo"
"Watermelon Quinoa Salad","Ensalada de Quinoa y Sandía"
"Whole-Wheat Spinach Parathas","Parathas de Espinaca de Trigo Integral"
"Whole Roasted Cauliflower with Lemon Vinaigrette","Coliflor Entera Asada con Vinagreta de Limón"
"Za'atar-Spiced Salmon with Mediterranean Couscous and Greek Yogurt","Salmón Especiado con Za'atar con Cuscús Mediterráneo y Yogur Griego"
"Za'atar Beef & Freekeh Lettuce Cups with Lemon-Tahini Sauce & Mint","Tazas de Lechuga con Res y Freekeh Especiados con Za'atar y Salsa de Limón-Tahini y Menta"
"Za’atar Chicken & Farro with Roasted Grapes, Onion & Brussels Sprouts","Pollo y Farro con Za’atar, Uvas Asadas, Cebolla y Coles de Bruselas"
"Zucchini Egg Boats","Barcos de Huevo con Calabacín"
"Zuppa Toscana with Cauliflower and Kale","Zuppa Toscana con Coliflor y Kale"
