"Inglés","Español"
"Cinnamon French Vanilla Overnight Oats","Avena Nocturna de Canela y Vainilla Francesa"
"Cinnamon Ginger Apple On A Stick","Manzana con Canela y Jengibre en Palito"
"Cinnamon Maple Grilled Peaches","Duraznos a la Parrilla con Canela y Maple"
"Cinnamon Roasted Pears","Peras Asadas con Canela"
"Classic Meatloaf","Pastel de Carne Clásico"
"Cocoa-Peppermint Power Pudding, Plant-Based","Pudin de Poder de Cacao y Menta, a Base de Plantas"
"Colorful Pasta Salad","Ensalada de Pasta Colorida"
"Cookie Dough Hummus","Hummus de Masa de Galleta"
"Cookie Dough Truffles","Trufas de Masa de Galleta"
"Cranberry Almond Muffins","Muffins de Arándanos y Almendra"
"Creamy Cheesy Cauliflower","Coliflor Cremosa con Queso"
"Creamy Pumpkin Pasta","Pasta Cremosa de Calabaza"
"Cream of Broccoli Soup","Sopa Cremosa de Brócoli"
"Crispy Baked Broccoli","Brócoli al Horno Crujiente"
"Crunchy Coleslaw Turkey Sandwich","Sándwich de Pavo con Ensalada de Repollo Crujiente"
"Dairy-Free Chocolate Ice Cream","Helado de Chocolate Sin Lácteos"
"Dairy-Free Loaded Nachos","Nachos Cargados Sin Lácteos"
"Dark Chocolate Almond Nice Cream","Helado de Nice Cream de Chocolate Negro y Almendra"
"Dark Chocolate Zucchini Bread Snack Squares","Cuadrados de Bocaditos de Pan de Calabacín con Chocolate Negro"
"Dijon and Horseradish Deviled Eggs","Huevos Endiablados con Dijon y Rábano"
"Double-Duty Banana Pancakes","Panqueques de Banana Doble"
"Easy Chicken and Vegetable Casserole","Cazuela Fácil de Pollo y Verduras"
"Easy Egg Muffins","Muffins de Huevo Fáciles"
"Easy Egg Salad","Ensalada de Huevo Fácil"
"Easy Turkey Chili","Chili de Pavo Fácil"
"Fall Granola with Pumpkin Seeds","Granola de Otoño con Semillas de Calabaza"
"Family Style Chicken Pot Pie","Pastel de Huevo al Estilo Familiar"
"Fiesta Tostadas (Mexican Pizza)","Tostadas Fiesta (Pizza Mexicana)"
"Fish Fillets with Lemon Parsley Topping","Filetes de Pescado con Cobertura de Limón y Perejil"
"Frozen Yogurt Fruit Pops","Paletas de Frutas con Yogur Congelado"
"Fruit and Almond Smoothie","Batido de Frutas y Almendra"
"Fruit and Cheese Kababs","Kababs de Frutas y Queso"
"Fruit Salad with Honey Yogurt","Ensalada de Frutas con Yogur de Miel"
"Garlic Mashed Potato Soup","Sopa de Puré de Papa con Ajo"
"Garlic Pita Crisps","Crujientes de Pita con Ajo"
"Ginger Infused Oatmeal","Avena Infundida con Jengibre"
"Gluten-Free Banana Bread","Pan de Banana sin Gluten"
"Gluten-Free Blueberry Corn Muffins","Mini Muffins de Maíz y Arándanos sin Gluten"
"Gluten-Free Chocolate Banana Muffins","Muffins de Banana y Chocolate sin Gluten"
"Gluten-Free Chocolate Mug Cake","Pastel de Taza de Chocolate sin Gluten"
"Gluten-Free Parmesan Biscuits","Galletas de Parmesano sin Gluten"
"Gluten-Free Quinoa Chocolate Chip Cookies","Galletas de Quinoa con Chispas de Chocolate sin Gluten"
"Good Morning Power Parfait","Parfait de Poder de Buenos Días"
"Greek Yogurt Chocolate Mousse","Mousse de Chocolate con Yogur Griego"
"Green Bean \"Fries\"","\"Papas Fritas\" de Judía Verde"
"Green Bell Pepper Enchiladas","Enchiladas de Pimiento Verde"
"Green Pesto Pasta","Pasta con Pesto Verde"
"Grilled ''Honey\" BBQ Chicken","Pollo BBQ a la Parrilla con \"Miel\""
"Grilled Chicken with Plums and Zucchini Skewers","Pollo a la Parrilla con Brochetas de Ciruelas y Calabacín"
"Grilled Pepper Steak Tostada","Tostada de Bistec con Pimientos a la Parrilla"
"Grilled Pork and Cheese Quesadillas","Quesadillas de Cerdo y Queso a la Parrilla"
"Guilt-Free Breakfast Sausage Patties","Pasteles de Salchicha de Desayuno Sin Culpa"
"Hard Boiled Egg","Huevo Duro"
"Healthy Back-to-School Lunch","Almuerzo Saludable para Regreso a Clases"
"Healthy Homemade Lunch-in-a-Pack","Almuerzo Casero Saludable en Paquete"
"Herbed Bread Stuffing","Relleno de Pan con Hierbas"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Herb and Olive Oil Mashed Potatoes","Puré de Papa con Hierbas y Aceite de Oliva"
"High-Fiber, Gluten-Free Brownies","Brownies Altos en Fibra y sin Gluten"
"High-Fiber Zucchini Muffins","Muffins de Calabacín Altos en Fibra"
"Holiday Pumpkin Pie With Maple-Ginger Crust","Pastel de Calabaza Navideño con Corteza de Maple y Jengibre"
"Homemade Fruit-Sweetened Granola","Granola Casera Endulzada con Frutas"
"Honey Stone Ground Mustard Chicken","Pollo con Mostaza de Granos de Miel"
"Hummus & Red Pepper Celery Logs","Rollos de Apio con Hummus y Pimiento Rojo"
"Instant Pot Freezer Fix Chili","Chili Rápido para Congelador en Instant Pot"
"Jamaican Stuffed Fish With Ritz","Pescado Relleno al Estilo Jamaicano con Ritz"
"Kid-Friendly Chicken Fingers","Dedos de Pollo Aptos para Niños"
"Kid-Friendly Meatballs","Albóndigas Aptas para Niños"
"Kid-Friendly Raspberry Smoothie Pops","Paletas de Batido de Frambuesa Aptas para Niños"
"Latin Baked Fried Chicken","Pollo Frito al Horno al Estilo Latino"
"Lentil Sloppy Joes","Sloppy Joes de Lentejas"
"Low-Sodium Sugar-Free Pickles","Pepinillos sin Azúcar y Bajos en Sodio"
"Low Carb Chicken and Zucchini Casserole","Cazuela de Pollo y Calabacín Baja en Carbohidratos"
"Low Carb Lunchbox","Caja de Almuerzo Baja en Carbohidratos"
"Maple-Pumpkin Spice Oatmeal Cookies","Galletas de Avena con Maple y Especias de Calabaza"
"Maple Apples","Manzanas con Maple"
"Master Chicken Stir Fry","Salteado de Pollo Maestro"
"Meatball Kabobs","Kababs de Albóndigas"
"Meat Lover's Breakfast Cups","Tazas de Desayuno para Amantes de la Carne"
"Melon Coolers","Enfriadores de Melón"
"Mini-Pumpkin Tarts","Tartaletas Mini de Calabaza"
"Mint Chocolate Chip Cookies","Galletas de Menta con Chispas de Chocolate"
"Mushroom Arugula Pizza","Pizza de Champiñones y Rúcula"
"New Ants on a Log","Ants en un Tronco Nuevos"
"No-Bake Peanut Butter & Chocolate Bites","Bocaditos de Mantequilla de Cacahuate y Chocolate Sin Hornear"
"Nuts about Pizza for Breakfast","Amantes de la Pizza para el Desayuno"
"Nuts for Pine Nuts Pizza","Pizza de Piñones para Nueces"
"Oatmeal Pecan Pancakes","Panqueques de Avena y Pacanas"
"OK Oatmeal with Strawberries and Almonds","Avena OK con Fresas y Almendras"
"Orange and Apple Bars","Barras de Naranja y Manzana"
"Orange Cream Italian Soda","Soda Italiana de Crema de Naranja"
"Panko Ranch Chicken Strips with Dipping Sauce","Tiras de Pollo con Panko y Ranch con Salsa para Mojar"
"Parfait de pudín de calabaza con galletas de jengibre","Parfait de Pudin de Calabaza con Galletas de Jengibre"
"Parmesan Crusted Chicken","Pollo Empanizado con Parmesano"
"Parmesan Tofu with Butternut Squash Noodles","Tofu con Parmesano y Fideos de Calabaza Butternut"
"PB and J Granola Bars","Barras de Granola de Mantequilla de Cacahuate y Mermelada"
"Peanut Butter, Cranberry, and Walnut Apple Slices","Rebanadas de Manzana con Mantequilla de Cacahuate, Arándanos y Nuez"
"Peanut Butter Banana Oat Bites","Bocaditos de Avena con Mantequilla de Cacahuate y Banana"
"Peanut Butter Blondies with Cacao Nibs","Blondies de Mantequilla de Cacahuate con Granos de Cacao"
"Pecan-Crusted Chicken Breast","Pechuga de Pollo Empanizada con Pacanas"
"Peppermint Chocolate \"Nice Cream\"","\"Nice Cream\" de Chocolate con Menta"
"Pesto Chicken with Vegetables and Spaghetti","Pollo al Pesto con Verduras y Espaguetis"
"Pineapple and Chile Quesadillas","Quesadillas de Piña y Chile"
"Pineapple Peach Sorbet","Sorbete de Piña y Durazno"
"Pizza Dough","Masa de Pizza"
"Plum Muffins","Muffins de Ciruela"
"Power Snack Mix","Mezcla de Bocadillos Energéticos"
"Pumpkin-Banana Muffins","Muffins de Calabaza y Banana"
"Pumpkin-Vanilla Pudding","Pudin de Calabaza y Vainilla"
"Pumpkin Pudding Parfait with Gingersnaps","Parfait de Pudin de Calabaza con Galletas de Jengibre"
"Pumpkin Seed Cluster Snack Mix","Mezcla de Bocadillos con Clusters de Semillas de Calabaza"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Quinoa Black Bean Burger","Hamburguesa de Quinoa y Frijol Negro"
"Raspberry Swirl Frozen Yogurt Bark","Bark de Yogur Congelado con Remolino de Frambuesa"
"Red, White, and Blue Pudding Trifle","Trifle de Pudin Rojo, Blanco y Azul"
"Roasted Chicken Breasts","Pechugas de Pollo Asadas"
"Roasted Pear Sauce","Salsa de Pera Asada"
"Roasted Veggie Pizza on Phyllo Crust","Pizza de Verduras Asadas sobre Corteza de Phyllo"
"Sauteed Fish Cakes","Pasteles de Pescado Salteados"
"Sautéed Cinnamon Apples","Manzanas Salteadas con Canela"
"Sheet Pan Chicken, Green Beans & Potatoes","Pollo, Judías Verdes y Papas en Bandeja"
"Simple Roasted Peppers","Pimientos Asados Simples"
"Skillet Caraway Cornbread","Pan de Maíz con Alcaravea en Sartén"
"Sloppy Janes","Sloppy Janes"
"Slow-Cooked Meat Loaf","Pastel de Carne Cocido a Fuego Lento"
"Slow Cooker Apricot Barbecue Pulled Chicken Sliders","Mini Sándwiches de Pollo Desmenuzado a Fuego Lento con Barbacoa de Albaricoque"
"Smoothie Breakfast Bowl","Tazón de Desayuno con Batido"
"Spaghetti Squash with Light Marinara Sauce","Calabaza Espagueti con Salsa Marinara Ligera"
"Sparkling Strawberry Mint Water","Agua con Gas de Fresa y Menta"
"Spiced Dutch Baby with Pumpkin Butter","Dutch Baby Especiado con Mantequilla de Calabaza"
"Spiced Sweet Potato Casserole","Cazuela de Batata Especiada"
"Spinach and Ham English Muffin Pizzas","Pizzas de Muffin Inglés con Espinaca y Jamón"
"Spinach Mushroom Egg and Ham Cups","Tazas de Huevo, Champiñones, Espinaca y Jamón"
"Strawberry-Lemon Cheesecake","Tarta de Queso de Fresa y Limón"
"Strawberry Banana \"Ice Cream\"","\"Helado\" de Fresa y Banana"
"Strawberry Cream Cheese French Toast Casserole","Cazuela de Tostadas Francesas con Queso Crema y Fresa"
"Strawberry Kiwi Spritzer","Spritzer de Fresa y Kiwi"
"Strawberry Stuffed French Toast","Tostadas Francesas Rellenas de Fresa"
"Strawberry Yogurt Whips","Whips de Yogur de Fresa"
"Sugar Free Yogurt Parfait with Fresh Berries","Parfait de Yogur sin Azúcar con Frutas Frescas"
"Summer Fruit Smoothie","Batido de Frutas de Verano"
"Superfood Smoothie","Batido de Superalimentos"
"Sweet and Savory Baked Apples","Manzanas al Horno Dulces y Saladas"
"\"Sweet\" Potato Fries","Papas Fritas de \"Batata\""
"Turkey Meatballs Arrabbiata","Albóndigas de Pavo Arrabbiata"
"Turkey Pesto Roll-Ups","Rollos de Pavo al Pesto"
"Turkey Sloppy Joes","Sloppy Joes de Pavo"
"Two-Bean Stew","Estofado de Dos Frijoles"
"Unstuffed Pepper Casserole","Cazuela de Pimiento sin Relleno"
"Veggie and Chicken Pasta Salad","Ensalada de Pasta con Verduras y Pollo"
"Veggie Dip Cups","Tazas de Dip de Verduras"
"Watermelon Lime Slushie","Granizado de Sandía y Lima"
"Whole Wheat Fresh Gingerbread","Pan de Jengibre Fresco de Trigo Integral"
"Whole Wheat Hot Pockets","Hot Pockets de Trigo Integral"
"Zucchini Fries","Papas Fritas de Calabacín"
