"Inglés","Español"
"Dark Chocolate Almond Nice Cream","Helado Saludable de Almendra y Chocolate Negro"
"Dark Chocolate Zucchini Bread Snack Squares","Cuadrados de Bocadillo de Pan de Calabacín y Chocolate Negro"
"Dark Chocolate Zucchini Bread Snack Squares","Cuadrados de Bocadillo de Pan de Calabacín y Chocolate Negro"
"Date, Almond, and Sesame Balls","Bolas de Dátiles, Almendra y Sésamo"
"Deviled Eggs","Huevos Rellenos"
"Dijon and Horseradish Deviled Eggs","Huevos Rellenos con Dijon y Rábano Picante"
"Dipping Sauce for Mini Baked Crab Cakes","Salsa para Mojar para Mini Pasteles de Cangrejo al Horno"
"Fall Granola with Pumpkin Seeds","Granola de Otoño con Semillas de Calabaza"
"Fig and Walnut Yogurt Tarts","Tartaletas de Yogur con Higos y Nueces"
"Fresh Black Bean Salsa","Salsa Fresca de Frijoles Negros"
"Frozen Yogurt Fruit Pops","Paletas de Yogur Congelado con Frutas"
"Fruit & Nut Granola Bars","Barras de Granola con Frutas y Nueces"
"Fruit and Almond Smoothie","Batido de Frutas y Almendra"
"Fruit and Cheese Kababs","Kababs de Frutas y Queso"
"Fruit Salad with Honey Yogurt","Ensalada de Frutas con Yogur de Miel"
"Garbanzo Bean Salad Quick Recipe","Receta Rápida de Ensalada de Garbanzos"
"Garlic Pita Crisps","Crujientes de Pita con Ajo"
"Garlic Shrimp on a Cucumber Flower","Camarones al Ajo en Flor de Pepino"
"Gluten-Free Parmesan Biscuits","Galletas de Parmesano sin Gluten"
"Good Morning Power Parfait","Parfait Energético de Buenos Días"
"Greek Yogurt Chocolate Mousse","Mousse de Chocolate con Yogur Griego"
"Green Bean \"Fries\"","'Papas' de Judías Verdes"
"Grilled Strawberries on “Crème” with Balsamic Glaze","Fresas a la Parrilla sobre 'Crema' con Glaseado de Balsámico"
"Grilled Strawberries on “Crème” with Balsamic Glaze","Fresas a la Parrilla sobre 'Crema' con Glaseado de Balsámico"
"Guacamole Stuffed Cherry Tomatoes","Tomates Cherry Rellenos de Guacamole"
"Hard Boiled Egg","Huevo Duro"
"Healthy Snack Mix - Foodie Recipe","Mezcla de Snacks Saludable - Receta Gourmet"
"Healthy Taco Dip","Dip Saludable para Taco"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Holiday Veggie Platter with Hummus – Quick Recipe","Plato de Verduras para Fiestas con Hummus – Receta Rápida"
"Homemade Fruit-Sweetened Granola","Granola Casera Endulzada con Frutas"
"Hummus & Red Pepper Celery Logs","Bastones de Apio con Hummus y Pimiento Rojo"
"Hummus Deviled Eggs","Huevos Rellenos con Hummus"
"Kid-Friendly Raspberry Smoothie Pops","Paletas de Batido de Frambuesa Aprobadas para Niños"
"Lemon-scented Shrimp (Gamberi Al Limone)","Camarones al Limón (Gamberi Al Limone)"
"Lemony Pesto Hummus","Hummus de Pesto con Limón"
"Lemon Raspberry Chia Seed Pudding","Pudín de Chía con Limón y Frambuesa"
"Lemon Thyme Greek Frozen Yogurt","Yogur Helado Griego con Limón y Tomillo"
"Lentil Bruschetta","Bruschetta de Lentejas"
"Low-Carb Rosemary Flax Crackers","Galletas de Linaza y Romero Bajas en Carbohidratos"
"Low-Sodium Sugar-Free Pickles","Pepinillos sin Azúcar y Bajos en Sodio"
"Low Carb Apple Spice Muffins","Muffins de Manzana y Especias Bajos en Carbohidratos"
"Mandarin Salsa and Prosciutto Bruschetta","Bruschetta de Salsa de Mandarina y Prosciutto"
"Mandarin Salsa and Prosciutto Bruschetta","Bruschetta de Salsa de Mandarina y Prosciutto"
"Mango and Tomato Salsa","Salsa de Mango y Tomate"
"Maple-Pumpkin Spice Oatmeal Cookies","Galletas de Avena con Especias de Maple y Calabaza"
"Maple-Pumpkin Spice Oatmeal Cookies","Galletas de Avena con Especias de Maple y Calabaza"
"Maple Apples","Manzanas con Maple"
"Margherita Pizza (Cloud Bread)","Pizza Margherita (Pan de Nube)"
"Mediterranean Spelt Flatbread","Pan Plano de Espelta Mediterráneo"
"Mexican Black Bean Soup","Sopa Mexicana de Frijoles Negros"
"Mini-Artichoke Cakes","Mini Pasteles de Alcachofa"
"Mini-Crab Bites - Quick Recipe","Mini Bocaditos de Cangrejo - Receta Rápida"
"Mini-Peach Crisps","Mini Tarta de Durazno"
"Mini Pear and Goat Cheese Tarts","Tartaletas Mini de Pera y Queso de Cabra"
"Mini Veggie Frittatas","Mini Frittatas de Verduras"
"Mixed Berries","Frutas del Bosque Mezcladas"
"Mushroom Arugula Pizza","Pizza de Champiñones y Rúcula"
"New Ants on a Log","Apio con Mantequilla de Cacahuate y Pasas"
"No-Bake Peanut Butter & Chocolate Bites","Bocaditos de Mantequilla de Cacahuate y Chocolate sin Hornear"
"No Bake Protein Balls","Bolas de Proteína sin Hornear"
"No Mayo Egg Salad","Ensalada de Huevo sin Mayonesa"
"One-Bite Spaghetti Squash Cups","Tazas de Calabaza Espagueti en un Bocado"
"Onion, Spinach, and Artichoke Dip","Dip de Cebolla, Espinaca y Alcachofa"
"Oven-Baked Maduros (Sweet Plantains)","Maduros al Horno (Plátanos Dulces)"
"Oven Pork Stew with Sweet Potatoes and Shallots","Estofado de Cerdo al Horno con Batatas y Chalotas"
"Papaya Lassi","Lassi de Papaya"
"Parsley Dill Ricotta Dip","Dip de Ricotta con Perejil y Eneldo"
"Parsley Dill Ricotta Dip","Dip de Ricotta con Perejil y Eneldo"
"Parsley Lemon Chickpea Salad","Ensalada de Garbanzos con Perejil y Limón"
"PB and J Granola Bars","Barras de Granola de Mantequilla de Cacahuate y Mermelada"
"Peach and Black Bean Salsa with Chips","Salsa de Durazno y Frijoles Negros con Chips"
"Peanut Butter, Cranberry, and Walnut Apple Slices","Rodajas de Manzana con Mantequilla de Cacahuate, Arándanos y Nuez"
"Peanut Butter Banana Oat Bites","Bocaditos de Avena con Mantequilla de Cacahuate y Banana"
"Peanut Butter Blondies with Cacao Nibs","Blondies de Mantequilla de Cacahuate con Nibs de Cacao"
"Peanut Butter Blondies with Cacao Nibs","Blondies de Mantequilla de Cacahuate con Nibs de Cacao"
"Pickled Brussels Sprouts","Coles de Bruselas en Escabeche"
"Pineapple Peach Sorbet","Sorbete de Piña y Durazno"
"Power Granola","Granola Energética"
"Power Snack Mix","Mezcla de Snacks Energéticos"
"Pumpkin-Vanilla Pudding","Pudín de Calabaza y Vainilla"
"Pumpkin Apple Protein Bars","Barras de Proteína de Calabaza y Manzana"
"Pumpkin Hummus","Hummus de Calabaza"
"Pumpkin Pie Smoothie","Batido de Pastel de Calabaza"
"Pumpkin Seed Cluster Snack Mix","Mezcla de Snacks de Semillas de Calabaza"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Quick Herb-Tomato Soup","Sopa Rápida de Hierbas y Tomate"
"Quinoa Cakes","Pasteles de Quinoa"
"Radish Toasts with Goat Cheese & Chives","Tostadas de Rábano con Queso de Cabra y Cebollín"
"Raspberry Swirl Frozen Yogurt Bark","Tocino de Yogur Helado con Remolino de Frambuesa"
"Raspberry Swirl Frozen Yogurt Bark","Tocino de Yogur Helado con Remolino de Frambuesa"
"Roasted and Spiced Chickpeas","Garbanzos Asados y Especiados"
"Roasted BBQ Chickpeas","Garbanzos BBQ Asados"
"Roasted Pear Sauce","Salsa de Pera Asada"
"Roasted Pineapple Salsa","Salsa de Piña Asada"
"Root Vegetable Cakes","Pasteles de Verduras de Raíz"
"Salmon and Arugula Wraps","Wraps de Salmón y Rúcula"
"Sausage Stuffed Mushrooms","Champiñones Rellenos de Salchicha"
"Savory Asparagus Custards","Flanes Salados de Espárragos"
"Savory Cauliflower and Cheesy Cakes","Pasteles Salados de Coliflor y Queso"
"Shrimp Ceviche","Ceviche de Camarón"
"Sicilian Olive Salad","Ensalada de Aceitunas Sicilianas"
"Smoked Salmon & Cucumber Bites","Bocaditos de Salmón Ahumado y Pepino"
"Spinach and Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach and Ham English Muffin Pizzas","Pizzas de Muffin Inglés con Espinaca y Jamón"
"Spinach and Parmesan Egg Bites","Bocaditos de Huevo con Espinaca y Parmesano"
"Spinach Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach Yogurt Dip","Dip de Espinaca y Yogur"
"Strawberries With Balsamic Glaze, Black Pepper, and Tarragon","Fresas con Glaseado de Balsámico, Pimienta Negra y Estragón"
"Strawberry-Lemon Cheesecake","Cheesecake de Fresa y Limón"
"Strawberry Yogurt Whips","Batidos de Yogur con Fresa"
"Strawberry Yogurt Whips","Batidos de Yogur con Fresa"
"Stuffed Mushrooms","Champiñones Rellenos"
"Sugar Free Yogurt Parfait with Fresh Berries","Parfait de Yogur sin Azúcar con Frutas Frescas"
"Sugar Free Yogurt Parfait with Fresh Berries","Parfait de Yogur sin Azúcar con Frutas Frescas"
"Summer Fruit Smoothie","Batido de Frutas de Verano"
"Summer Peach and Corn Salad","Ensalada de Durazno y Maíz de Verano"
"Superfood Smoothie","Batido de Superalimentos"
"Sweet and Savory Baked Apples","Manzanas al Horno Dulces y Saladas"
"Sweet Onion, White Bean and Artichoke Dip","Dip de Cebolla Dulce, Frijol Blanco y Alcachofa"
"Sweet Peanut Buttery Dip","Dip Dulce de Mantequilla de Cacahuate"
"Sweet Potato Baskets with Eggs","Cestas de Batata con Huevos"
"Tailgate Nachos","Nachos para Tailgate"
"Thai Lemongrass Beef Skewers","Brochetas de Res con Lemongrass al Estilo Tailandés"
"Toasted Nut & Cranberry Trail Mix","Mezcla de Trail Mix de Nueces Tostadas y Arándanos"
"Tofu Spring Rolls","Rollos de Primavera de Tofu"
"Tuna Ceviche","Ceviche de Atún"
"Turkey and Mozzarella Snack Skewers","Brochetas de Aperitivo de Pavo y Mozzarella"
"Turkey Bacon Wrapped Jalapeño Poppers","Pimientos Jalapeño Rellenos envueltos en Tocino de Pavo"
"Tzatziki and Vegetables","Tzatziki y Verduras"
"Veggie Dip Cups","Tazas de Dip de Verduras"
"Veggie Spring Rolls with Peanut Sauce","Rollos de Primavera de Verduras con Salsa de Cacahuate"
"White Bean, Lemon, and Herbed Feta Dip","Dip de Frijol Blanco, Limón y Feta con Hierbas"
"Whole-Wheat Cracker Rings with Black Pepper and Fennel Seeds (Taralli Integrali con Pepe e Finocchio)","Anillos de Galletas Integrales con Pimienta Negra y Semillas de Hinojo (Taralli Integrali con Pepe e Finocchio)"
"Whole Wheat Fresh Gingerbread","Pan de Jengibre Fresco de Trigo Integral"
"Whole Wheat Irish Soda Bread","Pan de Soda Irlandés de Trigo Integral"
"Winter Salad with Citrus","Ensalada de Invierno con Cítricos"
