"Inglés","Español"
"Dijon Chicken w/ Zucchini & Tomatoes","Pollo Dijon con Calabacín y Tomates"
"Easy Beef Chili","Chili de Res Fácil"
"Easy Broccoli and Shrimp Stir-Fry","Salteado de Brócoli y Camarones Fácil"
"Easy Chicken and Vegetable Casserole","Cazuela de Pollo y Verduras Fácil"
"Easy Chicken Panini","Panini de Pollo Fácil"
"Easy Egg Salad","Ensalada de Huevo Fácil"
"Easy Perfectly Cooked Lentils","Lentejas Cocidas Perfectamente Fácil"
"Easy Turkey Chili","Chili de Pavo Fácil"
"Edamame and Pasta with Feta","Edamame y Pasta con Feta"
"Eggplant and Chickpea Stew","Estofado de Berenjena y Garbanzos"
"Egg and Avocado Toasts","Tostadas de Huevo y Aguacate"
"Egg Souffle","Soufflé de Huevo"
"Ensalada de Zanahoria & Col","Ensalada de Zanahoria y Repollo"
"Ensalada de zanahoria y col","Ensalada de Zanahoria y Repollo"
"Farmhouse Vegetable and Farro Soup (Zuppa Di Verdure E Farro)","Sopa de Verduras y Farro Estilo Granja (Zuppa Di Verdure E Farro)"
"Fast-Fix Bean Burrito","Burrito de Frijoles Rápido"
"Favorite Vegetable Soup","Sopa de Verduras Favorita"
"Fillet with Shallot, Zucchini & Tomato","Filete con Chalota, Calabacín y Tomate"
"Fishermen Kabobs (Spiede Alla Marinara)","Kabobs de Pescadores (Spiede Alla Marinara)"
"Fish Fillets with Fresh Rosemary","Filetes de Pescado con Romero Fresco"
"Fish Fillets with Lemon Parsley Topping","Filetes de Pescado con Cobertura de Limón y Perejil"
"Fish Tacos","Tacos de Pescado"
"Fresh Vegetable Summer Rolls","Rollos de Verano de Verduras Frescas"
"Fried Egg And Avocado Sandwiches","Sándwiches de Huevo Frito y Aguacate"
"Fruited Chicken Salad","Ensalada de Pollo con Frutas"
"Garbanzo Bean and Arugula Salad","Ensalada de Garbanzos y Rúcula"
"Garden Harvest Soup","Sopa de Cosecha del Jardín"
"Garden Veggie and White Bean Chili","Chili de Verduras del Jardín y Frijoles Blancos"
"Garlicky Tomato Salad","Ensalada de Tomate con Ajo"
"Garlic Mashed Potato Soup","Sopa de Puré de Papas con Ajo"
"Gingered Pumpkin Bisque","Bisque de Calabaza con Jengibre"
"Ginger Honeydew Soup","Sopa de Melón con Jengibre"
"Gluten-Free Chicken Salad Wrap","Wrap de Ensalada de Pollo sin Gluten"
"Good Morning Power Parfait","Parfait Energético de Buenos Días"
"Grape Tomato Succotash","Succotash de Tomate Uva"
"Greek Bean and Vegetable Soup","Sopa Griega de Frijoles y Verduras"
"Greek Bean Salad","Ensalada Griega de Frijoles"
"Greek Chicken Salad","Ensalada Griega de Pollo"
"Greek Orzo Salad with Peas, Lemon and Kalamata Olives","Ensalada Griega de Orzo con Guisantes, Limón y Aceitunas Kalamata"
"Greek Quinoa Salad","Ensalada Griega de Quinoa"
"Greek Salmon and Veggie Packets","Paquetes Griegos de Salmón y Verduras"
"Greek Vegetable Pita Pizzas","Pizzas de Pita de Verduras Griegas"
"Greek Vegetable Pita Pizzas","Pizzas de Pita de Verduras Griegas"
"Green Beans With Cranberries and Hazelnuts","Judías Verdes con Arándanos y Avellanas"
"Green Chile Corn Chowder","Crema de Maíz con Chile Verde"
"Green Chile Pork Pozole","Pozole de Cerdo con Chile Verde"
"Green Pesto Pasta","Pasta con Pesto Verde"
"Green Salad with Orange, Avocado, and Onion","Ensalada Verde con Naranja, Aguacate y Cebolla"
"Grilled ''Honey\" BBQ Chicken","Pollo BBQ con Miel a la Parrilla"
"Grilled Chicken Caesar Kabobs","Kabobs de Ensalada César de Pollo a la Parrilla"
"Grilled Chicken Salad With Candied Pecans","Ensalada de Pollo a la Parrilla con Pacanas Confritas"
"Grilled Chicken Sandwich With Olive Arugula Topping","Sándwich de Pollo a la Parrilla con Cobertura de Aceitunas y Rúcula"
"Grilled Chicken Sausage with Zucchini and Peppers","Salchicha de Pollo a la Parrilla con Calabacín y Pimientos"
"Grilled Chicken Wraps","Wraps de Pollo a la Parrilla"
"Grilled Clams With Garlic (Butter) And Lime","Almejas a la Parrilla con Ajo (Mantequilla) y Lima"
"Grilled Hawaiian Chicken Kabobs","Kabobs de Pollo Hawaiano a la Parrilla"
"Grilled Honey-Lime Chicken","Pollo a la Parrilla con Miel y Lima"
"Grilled Lime Chicken Fajitas","Fajitas de Pollo con Lima a la Parrilla"
"Grilled Mango Chicken","Pollo con Mango a la Parrilla"
"Grilled Pepper Steak Tostada","Tostada de Bistec con Pimiento a la Parrilla"
"Grilled Pork and Cheese Quesadillas","Quesadillas de Cerdo y Queso a la Parrilla"
"Grilled Pork Tenderloin with Peach Salsa","Lomo de Cerdo a la Parrilla con Salsa de Durazno"
"Grilled Portabellas with Tomato and Tuscan Herbs","Portobellas a la Parrilla con Tomate y Hierbas Toscana"
"Grilled Romaine Hearts With Champagne-Mustard Vinaigrette","Corazones de Lechuga Romana a la Parrilla con Vinagreta de Champagne y Mostaza"
"Grilled Salmon and Avocado Salad","Ensalada de Salmón y Aguacate a la Parrilla"
"Grilled Scallops with Chunky Salsa Verde","Vieiras a la Parrilla con Salsa Verde Espesa"
"Grilled Seafood and Quinoa Salad with Mango and Avocado","Ensalada de Mariscos y Quinoa a la Parrilla con Mango y Aguacate"
"Grilled Shrimp Skewers","Brochetas de Camarones a la Parrilla"
"Grilled Steak Salad","Ensalada de Bistec a la Parrilla"
"Grilled Steak Souvlaki","Souvlaki de Bistec a la Parrilla"
"Grilled Steak with Mushrooms","Bistec a la Parrilla con Champiñones"
"Grilled Teriyaki Tuna Packet","Paquete de Atún Teriyaki a la Parrilla"
"Grilled Veggie Wrap","Wrap de Verduras a la Parrilla"
"Ham and Edamame Chop Salad","Ensalada de Jamón y Edamame con Trozos"
"Healthy Back-to-School Lunch","Almuerzo Saludable para Regreso a Clases"
"Healthy Homemade Lunch-in-a-Pack","Almuerzo Casero Saludable en Paquete"
"Healthy Mexican Sliders","Mini Sándwiches Mexicanos Saludables"
"Herbed Bread Stuffing","Relleno de Pan con Hierbas"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Herb Potato Salad","Ensalada de Papas con Hierbas"
"Homemade Instant Soup Jars","Frascos Caseros de Sopa Instantánea"
"Honey Soy-Glazed Salmon","Salmón Glaseado con Miel y Soja"
"Honey Stone Ground Mustard Chicken","Pollo con Mostaza de Piedra y Miel"
"Huevos Rancheros","Huevos Rancheros"
"Huevos Rancheros with Pinto Beans, Brown Rice and Chicken Sausage","Huevos Rancheros con Frijoles Pinto, Arroz Integral y Salchicha de Pollo"
"Ingrid Hoffmann's Healthy Refried Beans","Frijoles Refritos Saludables de Ingrid Hoffmann"
"Ingrid Hoffmann's Veracruz-Style Red Snapper","Pargo Rojo al Estilo Veracruz de Ingrid Hoffmann"
"Instant Pot Asian Spaghetti Squash","Calabaza Espagueti Asiática en Instant Pot"
"Instant Pot Black and White Turkey Chili Soup","Sopa de Chili de Pavo Negro y Blanco en Instant Pot"
"Instant Pot Chicken Curry Salad","Ensalada de Curry de Pollo en Instant Pot"
"Instant Pot Chicken Italian Soup with Artichokes","Sopa Italiana de Pollo con Alcachofas en Instant Pot"
"Instant Pot Lentils and Poached Eggs","Lentejas y Huevos Escalfados en Instant Pot"
"Instant Pot Pumpkin-Spiced Turkey Chili","Chili de Pavo con Especias de Calabaza en Instant Pot"
"Instant Pot Vegetarian Thai Mushroom Soup","Sopa Vegetariana Tailandesa de Champiñones en Instant Pot"
"Instant Pot Wheat Berry, Black Bean, and Avocado Salad","Ensalada de Bayas de Trigo, Frijoles Negros y Aguacate en Instant Pot"
"Italian Sausage Frittata","Frittata de Salchicha Italiana"
"Jalapeno Mac and Cheese","Macarrones con Queso y Jalapeño"
"Jalapeño Chicken and Corn Chowder","Crema de Maíz y Pollo con Jalapeño"
"Jamaican Stuffed Fish With Ritz","Pescado Relleno al Estilo Jamaicano con Galletas Ritz"
"Japanese Chicken and Spinach Rice Bowls","Tazones de Arroz con Pollo y Espinaca al Estilo Japonés"
"Kale Apple Slaw","Ensalada de Kale y Manzana"
"Kale Soup with Turkey and Beans","Sopa de Kale con Pavo y Frijoles"
"Kid-Friendly Meatballs","Albóndigas para Niños"
"Kidney Bean Stew","Estofado de Frijoles Rojos"
"Latin Baked Fried Chicken","Pollo Frito al Horno al Estilo Latino"
"Lemon-Mint Sugar Snap Peas","Guisantes Dulces con Limón y Menta"
"Lemon Chicken with Rosemary and Garlic","Pollo al Limón con Romero y Ajo"
"Lentils and Greens with Apples","Lentejas y Verduras con Manzanas"
"Lentil Salad","Ensalada de Lentejas"
"Lentil Sloppy Joes","Sloppy Joes de Lentejas"
"Lentil Stew","Estofado de Lentejas"
"Light And Fluffy Spinach And Cheese Strata","Strata Ligera y Esponjosa de Espinaca y Queso"
"\"Love Your Leftovers\" BBQ Bowl","Tazón BBQ \"Ama tus Sobras\""
"Low-Carb Artichoke Chicken Wraps","Wraps de Pollo y Alcachofa Bajos en Carbohidratos"
"Low Carb Lunchbox","Caja de Almuerzo Baja en Carbohidratos"
"Low Carb Summer Vegetable Pasta","Pasta de Verduras de Verano Baja en Carbohidratos"
"Low Carb Veggie Fried Rice Bowl","Tazón de Arroz Frito con Verduras Bajo en Carbohidratos"
"Luscious Avocado-Strawberry Salad With Toasted Pine Nuts","Ensalada Deliciosa de Aguacate y Fresa con Piñones Tostados"
"Mandarin, Greens, and Protein Bowl","Tazón de Mandarinas, Verduras y Proteína"
"Mango Mango Salad with Chicken","Ensalada de Mango con Pollo"
"Maple-Thyme Roasted Brussel Sprouts","Coles de Bruselas Asadas con Arce y Tomillo"
"Marinated Grilled Chicken with Zucchini","Pollo a la Parrilla Marinado con Calabacín"
"Marinated Grilled Salmon - Foodie Recipe","Salmón a la Parrilla Marinado - Receta Gourmet"
"Maryland's Eastern Shore Cream of Crab Soup","Sopa Cremosa de Cangrejo de Eastern Shore de Maryland"
"Mashed Red Potatoes","Puré de Papas Rojas"
"Mashed Sweet Potato Breakfast Bowl","Tazón de Desayuno con Puré de Batata"
"Meatball Kabobs","Kabobs de Albóndigas"
"Meatball Kebabs","Kabobs de Albóndigas"
"Meatball Minestrone","Minestrone de Albóndigas"
"Meatloaf Muffins with Sweet Potato Topping","Muffins de Pastel de Carne con Cobertura de Batata"
"Mediterranean Chicken Pita","Pita Mediterránea de Pollo"
"Mediterranean Lentil Soup","Sopa de Lentejas Mediterránea"
"Mediterranean Roll-Ups","Roll-Ups Mediterráneos"
"Mediterranean Spelt Flatbread","Pan Plano de Espelta Mediterráneo"
"Mediterranean Turkey Wrap","Wrap Mediterráneo de Pavo"
"Mediterranean Unstuffed Peppers","Pimientos Mediterráneos sin Relleno"
"Mexican Black Bean Soup","Sopa Mexicana de Frijoles Negros"
"Mexican Meatball Soup (Albondigas)","Sopa Mexicana de Albóndigas (Albondigas)"
"Mexican Quinoa Casserole","Cazuela Mexicana de Quinoa"
"Millet Pancakes with Lentil Puree","Panqueques de Mijo con Puré de Lentejas"
"Mini Baked Crab Cakes","Mini Pasteles de Cangrejo al Horno"
"Mini Veggie Frittatas","Mini Frittatas de Verduras"
"Miso Glazed Cod","Bacalao Glaseado con Miso"
"Mixed Greens and Cranberry Salad","Ensalada de Verduras Mixtas y Arándanos"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Mojito Sweeties Mash","Puré Dulce de Mojito"
"Moroccan Lentils with Stewed Tomatoes","Lentejas Marroquíes con Tomates Guisados"
"Mozzarella, Tomato and Chickpea Salad","Ensalada de Mozzarella, Tomate y Garbanzos"
"Mushroom and Walnut Meat Loaf","Pastel de Carne con Champiñones y Nueces"
"Mushroom Arugula Pizza","Pizza de Champiñones y Rúcula"
"Mushroom Burger","Hamburguesa de Champiñones"
"No Mayo Egg Salad","Ensalada de Huevo sin Mayonesa"
"Nuts for Pine Nuts Pizza","Pizza de Piñones con Nueces"
"Oatmeal Congee","Congee de Avena"
"Onion, Shallot and Herb Frittata","Frittata de Cebolla, Chalota y Hierbas"
"Open-Faced Grilled Pepper-Goat Cheese Sandwiches","Sándwiches Abiertos de Pimiento a la Parrilla y Queso de Cabra"
"Open-Faced Sweet Potato \"Sandwich\"","Sándwich Abierto de Batata"
"Open Face Egg & Spinach Salad Sandwich","Sándwich Abierto de Ensalada de Huevo y Espinaca"
"Orange, Asparagus, and Avocado Salad","Ensalada de Naranja, Espárragos y Aguacate"
"Orzo, Lentil, and Fig Salad","Ensalada de Orzo, Lentejas y Higos"
"Orzo with Lemon, Artichokes, and Asparagus","Orzo con Limón, Alcachofas y Espárragos"
"Oven-Baked Chicken Taquitos","Taquitos de Pollo al Horno"
"Panzanella Salad","Ensalada Panzanella"
"Papardelle Vegetable \"Pasta\" Carbonara","Carbonara de Verduras con Papardelle"
"Parmesan Crusted Chicken","Pollo con Corteza de Parmesano"
"Pasta Fagioli","Pasta Fagioli"
"Pastelón (Plantain Shepherd's Pie)","Pastelón (Pastel de Pastor de Plátano)"
"Penne with Eggplant-Tomato Sauce","Penne con Salsa de Berenjena y Tomate"
"Peppercorn Pistachio Caesar-Style Salad with Chicken","Ensalada César al Estilo de Pimienta y Pistacho con Pollo"
"Pesto Chicken Kababs","Kababs de Pollo con Pesto"
"Pineapple and Chile Quesadillas","Quesadillas de Piña y Chile"
"Pistachio Crusted Salmon","Salmón con Corteza de Pistacho"
"Pizza Dough","Masa para Pizza"
"Plant-Based \"Steak\" Fajitas","Fajitas de \"Bistec\" a Base de Plantas"
"Plum Salad with Goat Cheese and Walnuts","Ensalada de Ciruelas con Queso de Cabra y Nueces"
"Ponzu Pork Tacos with Mandarin Oranges","Tacos de Cerdo Ponzu con Naranjas Mandarina"
"Potato Crusted Bacon Quiche","Quiche de Bacon con Corteza de Papa"
"Powerhouse Kale Salad","Ensalada Potente de Kale"
"Power Lunch Salad","Ensalada de Almuerzo Energética"
"Provencal-Style Herb-Roasted Turkey Breast","Pechuga de Pavo Asada con Hierbas al Estilo Provenzal"
"Pulled Chicken with Cilantro Lime","Pollo Desmenuzado con Cilantro y Lima"
"Pumpkin Bisque","Bisque de Calabaza"
"Pumpkin Hummus","Hummus de Calabaza"
"Quick Herb-Tomato Soup","Sopa Rápida de Hierbas y Tomate"
"Quinoa, Arugula, and Apricot Salad","Ensalada de Quinoa, Rúcula y Albaricoque"
"Quinoa Black Bean Burger","Hamburguesa de Quinoa y Frijoles Negros"
"Quinoa Cakes","Pasteles de Quinoa"
"Radish Toasts with Goat Cheese & Chives","Tostadas de Rábano con Queso de Cabra y Cebollín"
"Rajas Poblanos and Skirt Steak Tacos","Tacos de Rajas Poblanos y Bistec de Falda"
"Ramen-Style Ginger Chicken Noodle Soup","Sopa de Fideos de Pollo con Jengibre al Estilo Ramen"
"Red Lentil Dal with Jicama \"Chips\"","Dal de Lentejas Rojas con Chips de Jícama"
"Red Onion Green Beans","Judías Verdes con Cebolla Roja"
"Red Pepper Quinoa","Quinoa con Pimiento Rojo"
"Ricotta and Blackberry Jam Crostini","Crostini de Ricotta y Mermelada de Mora"
"Rigatoni With Sun-Dried Tomatoes, Pesto, And Olives","Rigatoni con Tomates Secos, Pesto y Aceitunas"
"Roasted Beet, Apple and Queso Fresco Salad","Ensalada de Remolacha Asada, Manzana y Queso Fresco"
"Roasted Beet, Tahini, and Greek Yogurt Dip","Dip de Remolacha Asada, Tahini y Yogur Griego"
"Roasted Beets with Lemon and Dill","Remolachas Asadas con Limón y Eneldo"
"Roasted Beet and Chicken Salad with Goat Cheese","Ensalada de Remolacha y Pollo Asado con Queso de Cabra"
"Roasted Broccoli & Fregola Sarda with Hard-Boiled Eggs & Tahini Dressing","Brócoli Asado y Fregola Sarda con Huevos Duros y Aderezo de Tahini"
"Roasted Brussels Sprouts and Butternut Squash","Coles de Bruselas y Calabaza Asadas"
"Roasted Chicken and Arugula Salad","Ensalada de Pollo Asado y Rúcula"
"Roasted Chicken Breasts","Pechugas de Pollo Asadas"
"Roasted Cod With Tomatoes, Zucchini, And Olives","Bacalao Asado con Tomates, Calabacín y Aceitunas"
"Roasted Indian Cauliflower Tossed With Chickpeas And Cashews","Coliflor India Asada con Garbanzos y Anacardos"
"Roasted Pepper Pizza","Pizza de Pimiento Asado"
"Roasted Root Vegetable Soup","Sopa de Verduras de Raíz Asadas"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur, Limón y Eneldo"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur, Limón y Eneldo"
"Roasted Veggie Pizza on Phyllo Crust","Pizza de Verduras Asadas sobre Masa de Phyllo"
"Roasted Veggie Strata","Strata de Verduras Asadas"
"Roast Beef Rollups","Rollups de Roast Beef"
"Romaine Peppercorn-Steak Salad","Ensalada de Bistec con Pimienta Negra y Lechuga Romana"
"Ronaldo’s Cuban Sandwich","Sándwich Cubano de Ronaldo"
"Root Vegetable Cakes","Pasteles de Verduras de Raíz"
"Salad Greens with Spiced Pecans","Verduras para Ensalada con Pacanas Especiadas"
"Salmon and Rice Bowls","Tazones de Salmón y Arroz"
"Salmon Croquettes with Yogurt-Horseradish Sauce","Croquetas de Salmón con Salsa de Yogur y Rábano"
"Salmon with Mango and Peach Salsa","Salmón con Salsa de Mango y Durazno"
"Satay Zucchini Noodles","Fideos de Calabacín Satay"
"Sausage, Bean and Quinoa Soup","Sopa de Salchicha, Frijoles y Quinoa"
"Sausage and Fresh Basil Fast Frittata","Frittata Rápida de Salchicha y Albahaca Fresca"
"Sauteed Fish Cakes","Pasteles de Pescado Salteados"
"Savory Asparagus Custards","Flanes Salados de Espárragos"
"Savory Crepes","Crepes Salados"
"Savory Spice-Rubbed Strip Steak With Cinnamon Apples","Bistec de Lomo con Especias Salado y Manzanas con Canela"
"Seared Duck Breast Salad","Ensalada de Pechuga de Pato Sellada"
"Seared Fish Fillets With Red Pepper Sauce","Filetes de Pescado Sellados con Salsa de Pimiento Rojo"
"Seared Sea Scallops with Spiralized Carrots and Caramelized Onions","Vieiras Selladas con Zanahorias en Espiral y Cebollas Caramelizadas"
"Seared Tuna with Pesto Sauce","Atún Sellado con Salsa de Pesto"
"Sea Bass Provencale","Lubina a la Provenzal"
"Shakshuka","Shakshuka"
"Shakshuka with Red Peppers and Goat Cheese","Shakshuka con Pimientos Rojos y Queso de Cabra"
"Sheet Pan Miso Salmon and Sesame Bok Choy","Salmón al Miso y Bok Choy con Sésamo en Bandeja"
"Sheet Pan Salmon and Asparagus","Salmón y Espárragos en Bandeja"
