"Inglés","Español"
"Green Vegetable Egg \"Tortilla\"","\"Tortilla\" de Huevo con Verduras Verdes"
"Grilled Angel Food Cake With Melted Berries","Bizcocho Angelical a la Parrilla con Frutas Derretidas"
"Grilled Athenian Burger","Hamburguesa Ateniense a la Parrilla"
"Grilled Chicken Salad With Candied Pecans","Ensalada de Pollo a la Parrilla con Pacanas Confritas"
"Grilled Fish Tacos With Strawberry-Mango Salsa","Tacos de Pescado a la Parrilla con Salsa de Fresa y Mango"
"Grilled Honey-Lime Chicken","Pollo a la Parrilla con Miel y Lima"
"Grilled Lime Chicken Fajitas","Fajitas de Pollo a la Parrilla con Lima"
"Grilled Peaches with Fresh Blueberry Compote","Duraznos a la Parrilla con Compota de Arándanos Frescos"
"Grilled Peaches With White Balsamic And Mascarpone Cream","Duraznos a la Parrilla con Balsámico Blanco y Crema de Mascarpone"
"Grilled Pork With Tomato, Artichoke, And Kale Salsa","Cerdo a la Parrilla con Salsa de Tomate, Alcachofa y Kale"
"Grilled Romaine Hearts With Champagne-Mustard Vinaigrette","Corazones de Romaine a la Parrilla con Vinagreta de Champán y Mostaza"
"Grilled Shrimp Skewers","Brochetas de Camarones a la Parrilla"
"Grilled Sirloin with Olive Tapenade","Sirloin a la Parrilla con Tapenade de Aceitunas"
"Grilled Steak Salad","Ensalada de Bistec a la Parrilla"
"Grilled Steak with Mushrooms","Bistec a la Parrilla con Champiñones"
"Grilled Vegetable Pizza","Pizza de Verduras a la Parrilla"
"Guacamole Stuffed Cherry Tomatoes","Tomates Cherry Rellenos de Guacamole"
"Guilt-Free Breakfast Sausage Patties","Pasteles de Salchicha de Desayuno Sin Culpa"
"Ham and Broccoli Frittata","Frittata de Jamón y Brócoli"
"Hard Boiled Egg","Huevo Duro"
"Healthy Mexican Sliders","Mini Sándwiches Mexicanos Saludables"
"Herb-Rubbed Pork Tenderloin","Lomo de Cerdo Frotado con Hierbas"
"Herbed Soft Scrambled Eggs on Toast","Huevos Revueltos Suaves con Hierbas sobre Tostada"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"High-Fiber, Gluten-Free Brownies","Brownies Altos en Fibra y Sin Gluten"
"Homemade Fruit-Sweetened Granola","Granola Casera Endulzada con Frutas"
"Homemade Instant Soup Jars","Frascos de Sopa Instantánea Casera"
"Huevos Rancheros","Huevos Rancheros"
"Hummus & Red Pepper Celery Logs","Palitos de Apio con Hummus y Pimiento Rojo"
"Hummus Deviled Eggs","Huevos Endiablados con Hummus"
"Ingrid Hoffmann's Carnitas Baked Chimichangas","Chimichangas de Carnitas al Horno de Ingrid Hoffmann"
"Ingrid Hoffmann's Chicken Tinga Poblana","Chicken Tinga Poblana de Ingrid Hoffmann"
"Instant Pot Almond-Toffee Topped Pears","Peras con Almendra y Toffee en Instant Pot"
"Instant Pot Cajun Chicken and Andouille Rice","Pollo Cajún y Arroz Andouille en Instant Pot"
"Instant Pot Chia Berry Crepes","Crepes de Chía y Frutas del Bosque en Instant Pot"
"Instant Pot Individual Egg and Vegetable Frittatas","Frittatas Individuales de Huevo y Verduras en Instant Pot"
"Italian-Style Blistered Tomatoes","Tomates Quemados al Estilo Italiano"
"Jamaican Jerk Chicken","Pollo Jerk Jamaicano"
"Just Peachy Yogurt and Granola Jar","Frasco de Yogur y Granola de Durazno"
"Kale Soup with Turkey and Beans","Sopa de Kale con Pavo y Frijoles"
"Kid-Friendly Chicken Fingers","Dedos de Pollo para Niños"
"Kid-Friendly Raspberry Smoothie Pops","Paletas de Batido de Frambuesa para Niños"
"Lasagna Cupcakes","Cupcakes de Lasagna"
"Latin Baked Fried Chicken","Pollo Frito al Horno al Estilo Latino"
"Lemon-Mint Sugar Snap Peas","Guisantes Dulces con Limón y Menta"
"Lemon-scented Shrimp (Gamberi Al Limone)","Camarones Aromatizados con Limón (Gamberi Al Limone)"
"Lemony Pesto Hummus","Hummus de Pesto al Limón"
"Lemon Chicken with Rosemary and Garlic","Pollo al Limón con Romero y Ajo"
"Lemon Chiffon With Fresh Berries","Chiffon de Limón con Frutas Frescas"
"Lemon Raspberry Chia Seed Pudding","Pudding de Semillas de Chía con Limón y Frambuesa"
"Light And Fluffy Spinach And Cheese Strata","Strata Ligera y Esponjosa de Espinaca y Queso"
"Mango Mango Salad with Chicken","Ensalada de Mango y Pollo"
"Maryland's Eastern Shore Cream of Crab Soup","Sopa Cremosa de Cangrejo de Eastern Shore de Maryland"
"Masala Omelette with Mixed Veggies","Omelette Masala con Verduras Mixtas"
"Master Chicken Stir Fry","Salteado Maestro de Pollo"
"Meatball Kebabs","Kebabs de Albóndigas"
"Meatloaf Muffins with Sweet Potato Topping","Muffins de Pastel de Carne con Cúspide de Batata"
"Mediterranean Zucchini","Calabacín Mediterráneo"
"Mexican Skillet Egg Casserole","Cazuela de Huevo Mexicana en Sartén"
"Microwave Egg and Veggie Jars","Frascos de Huevo y Verduras en Microondas"
"Mini-Artichoke Cakes","Mini Pasteles de Alcachofa"
"Mini Apple Chimichanga","Mini Chimichangas de Manzana"
"Miso Glazed Cod","Bacalao Glaseado con Miso"
"Mixed Greens and Cranberry Salad","Ensalada de Verduras Mixtas y Arándanos"
"Mixed Pepper Medley","Mezcla de Pimientos"
"Modern Tuna Noodle Casserole","Cazuela Moderna de Atún y Fideos"
"Mushroom Arugula Pizza","Pizza de Champiñones y Rúcula"
"Mustard-Herb Roasted Pork Tenderloin","Lomo de Cerdo Asado con Mostaza y Hierbas"
"Nicoise-Inspired Salad","Ensalada Inspirada en Niçoise"
"No-Bake Peanut Butter & Chocolate Bites","Bocaditos de Mantequilla de Cacahuate y Chocolate Sin Hornear"
"No Mayo Egg Salad","Ensalada de Huevo Sin Mayonesa"
"No Noodle Zucchini Lasagna","Lasagna de Calabacín Sin Fideos"
"Omelet de Verduras","Omelet de Verduras"
"One-Bite Spaghetti Squash Cups","Tazas de Espagueti de Calabaza en un Bocado"
"Onion, Spinach, and Artichoke Dip","Dip de Cebolla, Espinaca y Alcachofa"
"Open-Faced Grilled Pepper-Goat Cheese Sandwiches","Sándwiches Abiertos de Pimiento a la Parrilla y Queso de Cabra"
"Orange and Apple Bars","Barras de Naranja y Manzana"
"Orzo, Lentil, and Fig Salad","Ensalada de Orzo, Lentejas y Higo"
"Oven-Baked Maduros (Sweet Plantains)","Maduros al Horno (Plátanos Dulces)"
"Papaya Lassi","Lassi de Papaya"
"Parmesan Crusted Chicken","Pollo con Corteza de Parmesano"
"Parmesan Mashed Cauliflower","Coliflor Puré con Parmesano"
"Peanut Butter Banana Oat Bites","Bocaditos de Avena con Mantequilla de Cacahuate y Banana"
"Pecan-Crusted Chicken Breast","Pechuga de Pollo con Corteza de Pacana"
"Pecan-Crusted Pork Tenderloin with Apples and Onions","Lomo de Cerdo con Corteza de Pacana, Manzanas y Cebollas"
"Penne with Eggplant-Tomato Sauce","Penne con Salsa de Berenjena y Tomate"
"Peruvian Chicken Saltado","Saltado de Pollo Peruano"
"Pesto","Pesto"
"Pesto Stuffed Chicken Breast with Bruschetta Sauce","Pechuga de Pollo Rellena de Pesto con Salsa Bruschetta"
"Pineapple Mint Water","Agua de Piña y Menta"
"Pineapple Peach Sorbet","Sorbete de Piña y Durazno"
"Plum Muffins","Muffins de Ciruela"
"Poached Pears with Pomegranate Sauce","Peras Escalfadas con Salsa de Granada"
"Pork Tacos","Tacos de Cerdo"
"Portobello Mushrooms & Onions with Balsamic Glaze","Champiñones Portobello y Cebollas con Glaseado Balsámico"
"Power Snack Mix","Mezcla de Snacks Energéticos"
"Pumpkin-Vanilla Pudding","Pudding de Calabaza y Vainilla"
"Pumpkin Hummus","Hummus de Calabaza"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Quinoa Black Bean Burger","Hamburguesa de Quinoa y Frijoles Negros"
"Quinoa Oatmeal","Avena con Quinoa"
"Red Onion Green Beans","Judías Verdes con Cebolla Roja"
"Ricotta, Grilled Eggplant, and Fresh Mint Bruschetta (Bruschetta Calabrese)","Bruschetta de Ricotta, Berenjena a la Parrilla y Menta Fresca (Bruschetta Calabrese)"
"Ricotta and Blackberry Jam Crostini","Crostini de Ricotta y Mermelada de Mora"
"Rigatoni With Sun-Dried Tomatoes, Pesto, And Olives","Rigatoni con Tomates Secos, Pesto y Aceitunas"
"Roasted and Spiced Chickpeas","Garbanzos Asados y Especiados"
"Roasted Baby Carrots","Zanahorias Baby Asadas"
"Roasted Beet, Tahini, and Greek Yogurt Dip","Dip de Remolacha Asada, Tahini y Yogur Griego"
"Roasted Cabbage Steaks","Chuletas de Col Asadas"
"Roasted Cabbage Steaks","Chuletas de Col Asadas"
"Roasted Green Beans in Champagne Vinaigrette","Judías Verdes Asadas en Vinagreta de Champán"
"Roasted Pear Sauce","Salsa de Pera Asada"
"Roasted Pineapple Salsa","Salsa de Piña Asada"
"Roasted Red Pepper Tomato Sauce","Salsa de Tomate con Pimiento Rojo Asado"
"Roasted Veggie Pizza on Phyllo Crust","Pizza de Verduras Asadas en Masa Phyllo"
"Roast Turkey with Orange-Spice Rub","Pavo Asado con Frotación de Naranja y Especias"
"Salmon Croquettes with Yogurt-Horseradish Sauce","Croquetas de Salmón con Salsa de Yogur y Rábano Picante"
"Salt-Free Cajun Seasoning","Condimento Cajún Sin Sal"
"Sauteed Fish Cakes","Pasteles de Pescado Salteados"
"Sautéed Cinnamon Apples","Manzanas Salteadas con Canela"
"Savory Spice-Rubbed Strip Steak With Cinnamon Apples","Bistec de Tira Frotado con Especias y Manzanas con Canela"
"Savory Tzatziki-Style Greek Yogurt","Yogur Griego Estilo Tzatziki Salado"
"Scallop Kebabs","Kebabs de Vieiras"
"Seared Chicken With Strawberry Salsa","Pollo Sellado con Salsa de Fresa"
"Seared Duck Breast Salad","Ensalada de Pechuga de Pato Sellada"
"Seared Scallops with Pesto Sauce","Vieiras Selladas con Salsa de Pesto"
"Sea Bass Provencale","Lubina Provencal"
"Sheet Pan Chicken, Green Beans & Potatoes","Pollo, Judías Verdes y Patatas en Bandeja"
"Sheet Pan Roasted Turkey and Veggies","Pavo Asado y Verduras en Bandeja"
"Sheet Pan Salmon and Green Beans","Salmón y Judías Verdes en Bandeja"
"Shrimp Ceviche","Ceviche de Camarones"
"Shrimp Jambalaya","Jambalaya de Camarones"
"Shrimp Saganaki","Saganaki de Camarones"
"Shrimp with Creamy Arugula Pesto","Camarones con Pesto Cremoso de Rúcula"
"Sicilian Olive Salad","Ensalada de Aceitunas Sicilianas"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simply Spiced Shrimp","Camarones Simplemente Especiados"
"Sirloin Hoagies","Hoagies de Sirloin"
"Skillet Caraway Cornbread","Pan de Maíz con Alcaravea en Sartén"
"Slow-Cooked Whole Chicken","Pollo Entero Cocido a Fuego Lento"
"Slow-Cooker Flank Steak Tacos","Tacos de Bistec de Falda en Olla de Cocción Lenta"
"Slow-Roasted Citrus Cod","Bacalao de Cítricos Asado a Fuego Lento"
"Slow Cooker Pulled BBQ Chicken","Pollo BBQ Desmenuzado en Olla de Cocción Lenta"
"Smoky Shrimp Tostadas with Chipotle Mango Slaw","Tostadas de Camarones Ahumados con Ensalada de Mango y Chipotle"
"Socca With Poached Eggs, Roasted Tomatoes, And Fresh Basil","Socca con Huevos Escalfados, Tomates Asados y Albahaca Fresca"
"Southern Collard Greens","Col Rizada al Estilo del Sur"
"Southern Italian Fava Bean Purèe (Maccu)","Puré de Habas al Estilo Italiano del Sur (Maccu)"
"Southwest-Style Turkey Meatloaf","Pastel de Carne de Pavo al Estilo Suroeste"
"Spaghetti Squash Parmigiano","Espagueti de Calabaza con Parmigiano"
"Spice-Rubbed Roasted Chicken Thighs With Lemons","Muslos de Pollo Asados con Especias y Limones"
"Spiced Lemon Yogurt Chicken Tenders","Tiras de Pollo con Yogur de Limón y Especias"
"Spiced Shrimp With Grilled Lemon","Camarones Especiados con Limón a la Parrilla"
"Spiced Sweet Potato Casserole","Cazuela de Batata Especiada"
"Spiced Turkey Breast With Apple Chutney","Pechuga de Pavo Especiada con Chutney de Manzana"
"Spicy Pork Chops with Sweet Mango Sauce","Chuletas de Cerdo Picantes con Salsa Dulce de Mango"
"Spicy Pork Tenderloins With Chili And Black Vinegar","Lomos de Cerdo Picantes con Chile y Vinagre Negro"
"Spinach and Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach and Ham English Muffin Pizzas","Pizzas de Muffin Inglés con Espinaca y Jamón"
"Spinach and Turkey Meatballs","Albóndigas de Espinaca y Pavo"
"Spinach Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach Mushroom Egg and Ham Cups","Tazas de Huevo, Champiñones, Espinaca y Jamón"
"Spinach Pesto Chicken Salad Wrap","Wrap de Ensalada de Pollo con Pesto de Espinaca"
"Strawberries With Balsamic Glaze, Black Pepper, and Tarragon","Fresas con Glaseado Balsámico, Pimienta Negra y Estragón"
"Strawberry Cream Cheese French Toast Casserole","Cazuela de Tostadas Francesas con Fresas y Queso Crema"
"Strawberry Cream Cheese French Toast Casserole","Cazuela de Tostadas Francesas con Fresas y Queso Crema"
"Strawberry Mascarpone Parfaits","Parfaits de Fresas y Mascarpone"
"Strip Steak With Smothered Onions","Bistec de Tira con Cebollas Guisadas"
"Stuffed Mushrooms","Champiñones Rellenos"
"Sugar Snap Pea and Soba Salad","Ensalada de Guisantes y Soba"
"Summer Chicken Spring Rolls","Rollitos de Primavera de Pollo de Verano"
"Sweet and Smoky Baked Eggs","Huevos al Horno Dulces y Ahumados"
"Sweet Potato Baskets with Eggs","Cestas de Batata con Huevos"
"Sweet Potato Masala","Masala de Batata"
"Sweet Potato Salad","Ensalada de Batata"
"Sweet Tart Raspberry Phyllo Bites","Bocaditos de Phyllo con Frambuesa y Dulce"
"Tarragon-Mustard Cod","Bacalao con Estragón y Mostaza"
"Tarragon Herbed Chicken and Mushrooms","Pollo y Champiñones con Hierbas de Estragón"
"Tex-Mex Shrimp Tacos","Tacos de Camarones Tex-Mex"
"Thai Lemongrass Beef Skewers","Brochetas de Carne de Res con Hierba de Limón al Estilo Tailandés"
"Thanksgiving Green Beans with Cranberries and Hazelnuts","Judías Verdes de Acción de Gracias con Arándanos y Avellanas"
"Thanksgiving Winter Salad with Champagne Vinaigrette","Ensalada Invernal de Acción de Gracias con Vinagreta de Champán"
"Three-Minute Skillet Beans & Greens","Frijoles y Verduras en Sartén de Tres Minutos"
"Toasted Quinoa and Cabbage Salad","Ensalada de Quinoa y Col Tostada"
"Tomato Basil Frittata","Frittata de Tomate y Albahaca"
"Triple Citrus Vinaigrette","Vinagreta de Triple Cítrico"
"Tuna Ceviche","Ceviche de Atún"
"Turkey Bacon Wrapped Jalapeño Poppers","Jalapeños Rellenos Envuelto en Tocino de Pavo"
"Turkey Kebabs with Avocado & Tomato","Kebabs de Pavo con Aguacate y Tomate"
"Turkey Meatballs Arrabbiata","Albóndigas de Pavo Arrabbiata"
"Turkey Tacos","Tacos de Pavo"
"Tuscan Bean Soup","Sopa de Frijoles Toscana"
"Tuscan Spiedini With Fresh Herbs, Lemon, And Cracked Fennel Seeds","Spiedini Toscana con Hierbas Frescas, Limón y Semillas de Hinojo Trituradas"
"Vaca Frita Beef","Vaca Frita (Carne de Res Frita)"
"Valencian Seafood Paella","Paella de Mariscos Valenciana"
"Vegetarian Kale Pasta","Pasta de Kale Vegetariana"
"Veggie and Chicken Pasta Salad","Ensalada de Pasta con Verduras y Pollo"
"Veggie Baked Ziti","Ziti al Horno con Verduras"
"Veggie Breakfast Wrap","Wrap de Desayuno con Verduras"
"Venetian Shrimp With Garlic (Schie Aglio Olio)","Camarones Venecianos con Ajo (Schie Aglio Olio)"
"Vietnamese Cabbage And Pork Salad","Ensalada Vietnamita de Col y Cerdo"
"Vindaloo-Style Roasted Pork Tenderloin","Lomo de Cerdo Asado al Estilo Vindaloo"
"Watermelon and Tomato Salad","Ensalada de Sandía y Tomate"
"Watermelon Rosemary Water","Agua de Sandía y Romero"
"White Bean, Lemon, and Herbed Feta Dip","Dip de Frijoles Blancos, Limón y Feta con Hierbas"
"Wild Rice and Cherry Pilaf","Pilaf de Arroz Salvaje y Cereza"
"Winter Salad With Champagne Vinaigrette and Pomegranate","Ensalada Invernal con Vinagreta de Champán y Granada"
